lambda,qEXT,qSCA,qABS,eSQU
400,0.0007351386099999999,1.5396759999999985e-05,0.0007197418499999999,1.5479353
410,0.00071893757,1.4069250000000103e-05,0.0007048683199999999,1.5508371
420,0.0007012705199999999,1.2794839999999896e-05,0.00068847568,1.5499123
430,0.00068550195,1.1640930000000015e-05,0.00067386102,1.5477198
440,0.00067752873,1.0713979999999856e-05,0.0006668147500000001,1.5498331
450,0.00067103811,9.853299999999982e-06,0.00066118481,1.5501784
460,0.0006567685400000001,8.862410000000094e-06,0.00064790613,1.5377746
470,0.00065056826,8.112629999999983e-06,0.00064245563,1.5333968999999998
480,0.0006621522400000001,7.729790000000035e-06,0.00065442245,1.5481908000000002
490,0.00069853412,7.939329999999867e-06,0.0006905947900000001,1.6060402
500,0.00078412913,9.340649999999939e-06,0.00077478848,1.7671743000000002
510,0.00093661252,1.2758020000000004e-05,0.0009238545,2.1303657000000005
520,0.0011377676,1.8756100000000015e-05,0.0011190115,2.795624
530,0.0011985381,2.293869999999993e-05,0.0011755994,3.3757475
540,0.001076013,2.3252299999999967e-05,0.0010527607,3.6049295
550,0.0008415478199999999,1.986144999999986e-05,0.00082168637,3.4077252
560,0.00062440255,1.578389999999999e-05,0.00060861865,3.0697534
570,0.00045549486,1.199787999999998e-05,0.00044349698,2.7026086
580,0.00033834074,8.978679999999974e-06,0.00032936206,2.3813725
590,0.00026028344,6.644490000000034e-06,0.00025363895,2.1133943
600,0.00020931067,4.928109999999985e-06,0.00020438256,1.9054455
610,0.00017661043999999998,3.6666899999999688e-06,0.00017294375,1.7450776
620,0.00015599581,2.7395299999999714e-06,0.00015325628000000002,1.6250928999999998
630,0.00014327561,2.0584300000000026e-06,0.00014121718,1.5444861
640,0.0001378985,1.5461700000000001e-06,0.00013635233,1.5034091
650,0.00013859919,1.1651299999999886e-06,0.00013743406,1.5162347
660,0.00014407004,8.817100000000028e-07,0.00014318833,1.609572
670,0.00014877423,6.661300000000193e-07,0.0001481081,1.7132686999999998
680,0.00014131417,4.916699999999851e-07,0.0001408225,1.6375465
690,0.00013014992,3.443099999999764e-07,0.00012980561,1.4798024
700,0.00012413556,2.2364999999999234e-07,0.00012391191,1.3608129
710,0.00012443368,1.4418000000000308e-07,0.0001242895,1.2931974
720,0.00013044167,1.1685999999998926e-07,0.00013032481,1.2658808
730,0.00014107851000000002,1.636900000000262e-07,0.00014091482,1.278726
740,0.00015440733,2.7493999999998893e-07,0.00015413239,1.3238973
750,0.00017165582,4.53209999999978e-07,0.00017120261000000002,1.4066618999999998
760,0.00019301305,7.035399999999936e-07,0.00019230951,1.5312078000000002
770,0.00022098542,1.073449999999999e-06,0.00021991197,1.7234657
780,0.0002575825,1.6070500000000035e-06,0.00025597545,2.0190328
790,0.00030713581,2.365549999999966e-06,0.00030477026000000004,2.4721733
800,0.00037389775,3.4448500000000353e-06,0.0003704529,3.1492736
810,0.0004655645099999999,5.005499999999883e-06,0.00046055901,4.1710410000000016
820,0.0005949758200000001,7.3100499999999725e-06,0.0005876657700000001,5.7420819000000005
830,0.0007825796799999999,1.0956370000000048e-05,0.0007716233099999999,8.3185317
840,0.0010715472,1.684819999999993e-05,0.001054699,12.635617
850,0.001533071,2.6636299999999906e-05,0.0015064347,20.076648
860,0.0022747009,4.3079199999999755e-05,0.0022316217000000003,33.002195
861,0.0023686691,4.521670000000007e-05,0.0023234524,34.713221999999995
863,0.0025681431,4.9795200000000116e-05,0.0025183479,38.398747
865,0.002782599,5.4782699999999986e-05,0.0027278163,42.443524
867,0.0030107487,6.01636e-05,0.0029505851,46.844527
869,0.0032500737,6.589249999999986e-05,0.0031841812,51.577851
870,0.0033727135,6.886499999999999e-05,0.0033038485,54.053971
871,0.0034964627000000003,7.188810000000002e-05,0.0034245746000000003,56.59051899999999
873,0.0037439181,7.803590000000004e-05,0.0036658822,61.792903
875,0.0039844158,8.415510000000029e-05,0.0039002607,67.053202
877,0.0042081234,9.002530000000019e-05,0.0041180981,72.19794300000002
879,0.0044039719,9.53960999999998e-05,0.0043085758000000005,77.01836
880,0.004487912100000001,9.780480000000022e-05,0.0043901073,79.23625200000002
881,0.0045607454,9.998660000000003e-05,0.0044607588,81.28805200000002
883,0.0046684819,0.00010354490000000043,0.004564937,84.78765
885,0.0047199413,0.00010587359999999959,0.0046140677,87.333704
