#Lambda,Qext,Qsca,Qabs,E^2
400.0,9.894779e-05,-0.00012223739,0.00022118518,3.7353395
410.0,9.5722708e-05,-0.000124074502,0.00021979721,3.8032566
420.0,9.2587468e-05,-0.000123991392,0.00021657886,3.8333458
430.0,9.1304609e-05,-0.00012368421100000001,0.00021498882,3.8764475
440.0,9.5016054e-05,-0.00012634759600000002,0.00022136365,4.0260324
450.0,0.00010042367,-0.00012889171,0.00022931538,4.209938
460.0,0.00010365854,-0.00012570742,0.00022936596,4.2701048
470.0,0.00011044913,-0.00012701955,0.00023746868,4.4855692
480.0,0.00012852562,-0.00013784121999999997,0.00026636684,5.0158382
490.0,0.00015698394,-0.00016793566,0.0003249196,6.1800748
500.0,0.00020876503,-0.00024574511,0.00045451014,9.0631193
510.0,0.00029489932,-0.00042153992000000003,0.00071643924,16.10788
520.0,0.00041018765,-0.0007612656499999999,0.0011714533,32.213959
530.0,0.00043714194,-0.00117496496,0.0016121069,54.83971
540.0,0.00034045733,-0.00158714317,0.0019276005,81.887086
550.0,0.00012999876,-0.0019023149399999997,0.0020323137,107.90192
560.0,-0.0001203959,-0.002170508,0.0020501121,136.48499
570.0,-0.00040681205,-0.00246419535,0.0020573833,171.32585
580.0,-0.00074216458,-0.00285248088,0.0021103163,218.64938
590.0,-0.0011349895,-0.0032801972,0.0021452077,275.8097
600.0,-0.0013820502,-0.0032750115,0.0018929613,302.60953
610.0,-0.0011760576,-0.0024069208,0.0012308632,243.78852
620.0,-0.00076890886,-0.0014092259500000002,0.00064031709,156.3337
630.0,-0.00046910157,-0.0007905439699999999,0.0003214424,96.633584
640.0,-0.00028931684,-0.00045593475,0.00016661791,60.955526
650.0,-0.00018646583,-0.000278226594,9.1760764e-05,40.322284
660.0,-0.000126479,-0.00018047348400000002,5.3994484e-05,28.002127
670.0,-9.1699762e-05,-0.000126260908,3.4561146e-05,20.192632
680.0,-6.9324943e-05,-9.2712985e-05,2.3388042e-05,15.099246
690.0,-5.4444011e-05,-7.1104789e-05,1.6660778e-05,11.668813
700.0,-4.3855414e-05,-5.6162263e-05,1.2306849e-05,9.2072014
710.0,-3.5998181e-05,-4.53520867e-05,9.3539057e-06,7.4015173
720.0,-2.946824e-05,-3.65925165e-05,7.1242765e-06,5.991301
730.0,-2.4430243e-05,-2.99954632e-05,5.5652202e-06,4.9243706
740.0,-2.0807948e-05,-2.53279637e-05,4.5200157e-06,4.1346151
750.0,-1.799913e-05,-2.17586039e-05,3.7594739e-06,3.5167571
760.0,-1.577099e-05,-1.89888583e-05,3.2178683e-06,3.0285746
770.0,-1.3874617e-05,-1.66916998e-05,2.8170828e-06,2.6260462
780.0,-1.2292019e-05,-1.47952734e-05,2.5032544e-06,2.2944864
790.0,-1.0930148e-05,-1.31684255e-05,2.2382775e-06,2.0190327
800.0,-9.7242495e-06,-1.17532059e-05,2.0289564e-06,1.7883039
810.0,-8.6676358e-06,-1.05518842e-05,1.8842484e-06,1.5949136
820.0,-7.7502906e-06,-9.5357605e-06,1.7854699e-06,1.4325395
830.0,-6.8411289e-06,-8.5482263e-06,1.7070974e-06,1.2939062
840.0,-6.0460966e-06,-7.7028234e-06,1.6567268e-06,1.1755619
850.0,-5.3845253e-06,-7.0033707e-06,1.6188454e-06,1.0734074
860.0,-4.8196407e-06,-6.401637500000001e-06,1.5819968e-06,0.98462671
870.0,-4.3101604e-06,-5.8781706e-06,1.5680102e-06,0.90852935
880.0,-3.8769962e-06,-5.4436453e-06,1.5666491e-06,0.84271523
890.0,-3.5227455e-06,-5.0751375e-06,1.552392e-06,0.78386509
900.0,-3.2750856e-06,-4.7957999e-06,1.5207143e-06,0.72953642
