lambda,qEXT,qSCA,qABS,eSQU
100,0.003472208,0.001265741,0.002206467,0.76375976
110,0.003544099,0.001236337,0.002307763,0.82039343
120,0.003632778,0.00123832,0.002394458,0.88349987
130,0.003627893,0.001166844,0.00246105,0.95746295
140,0.003569332,0.00105352,0.002515812,1.0158646
150,0.003616753,0.00103086,0.002585894,1.085294
160,0.003642869,0.001009617,0.002633252,1.1500229
170,0.003582332,0.000942514,0.002639819,1.1993717
180,0.003451442,0.000837374,0.002614068,1.2328542
190,0.003311829,0.000731225,0.002580604,1.2580343
200,0.003226522,0.000653537,0.002572985,1.2875605
210,0.00323338,0.000618064,0.002615315,1.3413841
220,0.002938584,0.000476401,0.002462183,1.2918793
230,0.003014987,0.000475214,0.002539773,1.3766135
240,0.003087934,0.000472901,0.002615034,1.4711113
250,0.003189414,0.000479466,0.002709948,1.5879369
260,0.003317917,0.000494641,0.002823276,1.7337395
270,0.003378979,0.000491743,0.002887237,1.8699153
280,0.003351042,0.000466652,0.00288439,1.9722661
290,0.003273799,0.000427022,0.002846777,2.0296132
300,0.003170291,0.000386417,0.002783874,2.0736896
310,0.003088114,0.000350016,0.002738097,2.1073259
320,0.003007225,0.000317708,0.002689516,2.1397048
330,0.002957584,0.00028725,0.002670333,2.1526157
340,0.002869829,0.000256689,0.00261314,2.1549405
350,0.002762718,0.000228545,0.002534173,2.1539082
360,0.002710429,0.0002106,0.002499829,2.1870287
370,0.002702868,0.000199832,0.002503037,2.251663
380,0.002693799,0.000190014,0.002503786,2.3196655
390,0.002646175,0.000176645,0.00246953,2.3584773
400,0.0025882,0.000162726,0.002425474,2.3815807
410,0.002538132,0.000150002,0.002388131,2.4009238
420,0.00247867,0.000137226,0.002341444,2.4067216
430,0.002421242,0.000125165,0.002296076,2.4043467
440,0.002384837,0.000114871,0.002269965,2.4051016
450,0.00234971,0.000105121,0.002244589,2.398245
460,0.002282396,9.38E-05,0.002188551,2.3558971
470,0.002242217,8.52E-05,0.00215698,2.3335238
480,0.00223936,7.92E-05,0.002160133,2.3361107
490,0.002309669,7.91E-05,0.002230564,2.4353978
500,0.002516595,8.98E-05,0.002426829,2.7527143
510,0.002919661,0.000118931,0.00280073,3.5046756
520,0.003578028,0.000179006,0.003399022,5.0665763
530,0.004520825,0.000274515,0.004246311,7.7144453
540,0.005759799,0.000419251,0.005340548,12.039347
550,0.006982173,0.000598193,0.006383981,17.98143
560,0.00755485,0.000756619,0.006798231,24.158531
570,0.006823757,0.000795963,0.006027794,27.247376
580,0.005145572,0.000694103,0.00445147,25.623101
590,0.003480014,0.000535897,0.002944117,21.42206
600,0.00232046,0.000403676,0.001916785,17.499457
610,0.001588301,0.000308759,0.001279541,14.512939
620,0.001127199,0.000243082,0.000884118,12.371995
630,0.000825208,0.000197201,0.000628007,10.847098
640,0.000621642,0.00016303,0.000458612,9.6781733
650,0.000481864,0.000137083,0.000344781,8.7685841
660,0.000384191,0.000116982,0.000267209,8.0481463
670,0.000319294,0.000100958,0.000218336,7.4582196
680,0.000270471,8.80E-05,0.000182452,6.9729667
690,0.000233428,7.74E-05,0.000156012,6.5684876
700,0.000205248,6.86E-05,0.000136644,6.2266699
710,0.00018327,6.12E-05,0.000122058,5.9367972
720,0.000165063,5.49E-05,0.000110138,5.6869776
730,0.000149929,4.95E-05,0.000100384,5.4700191
740,0.0001371,4.49E-05,9.22E-05,5.2787862
750,0.000126034,4.09E-05,8.51E-05,5.1068035
760,0.000116414,3.74E-05,7.90E-05,4.9516543
770,0.000107862,3.43E-05,7.36E-05,4.8117951
780,0.000100155,3.15E-05,6.87E-05,4.6858414
790,9.33E-05,2.90E-05,6.43E-05,4.5719136
800,8.71E-05,2.68E-05,6.03E-05,4.4681223
810,8.17E-05,2.48E-05,5.68E-05,4.3743783
820,7.69E-05,2.31E-05,5.38E-05,4.2897207
830,7.20E-05,2.15E-05,5.05E-05,4.2115264
840,6.75E-05,2.00E-05,4.75E-05,4.1390399
850,6.35E-05,1.87E-05,4.48E-05,4.0722846
860,6.00E-05,1.75E-05,4.25E-05,4.0115833
870,5.69E-05,1.64E-05,4.05E-05,3.9560017
880,5.41E-05,1.54E-05,3.88E-05,3.9042699
890,5.17E-05,1.44E-05,3.73E-05,3.8563703
900,5.01E-05,1.36E-05,3.65E-05,3.8130204
