#Lambda,Qext,Qsca,Qabs,E^2
400.0,1.693765e-06,-7.1737594e-06,8.8675244e-06,2.5246456
410.0,1.5693137e-06,-7.270682099999999e-06,8.8399958e-06,2.5714795
420.0,1.4785163e-06,-7.261066500000001e-06,8.7395828e-06,2.6000753
430.0,1.470134e-06,-7.2742365999999995e-06,8.7443706e-06,2.6503441
440.0,1.6333107e-06,-7.564036599999999e-06,9.1973473e-06,2.7998945
450.0,1.891017e-06,-7.8837867e-06,9.7748037e-06,2.9903294
460.0,2.1627313e-06,-7.8154334e-06,9.9781647e-06,3.1070528
470.0,2.5481509e-06,-8.0891501e-06,1.0637301e-05,3.3486541
480.0,3.4002634e-06,-9.3071026e-06,1.2707366e-05,3.9203821
490.0,4.6089483e-06,-1.2283288699999998e-05,1.6892237e-05,5.0372153
500.0,6.5607057e-06,-2.0291062299999997e-05,2.6851768e-05,7.6544454
510.0,9.0950834e-06,-4.09774486e-05,5.0072532e-05,13.98625
520.0,9.6938518e-06,-8.90468402e-05,9.8740692e-05,29.02675
530.0,-1.2681585e-06,-0.00014680900850000002,0.00014554085,48.346422
540.0,-2.2158788e-05,-0.00018718775800000002,0.00016502897,64.960017
550.0,-3.8191045e-05,-0.000174803765,0.00013661272,65.445349
560.0,-4.0220575e-05,-0.000133219423,9.2998848e-05,54.895616
570.0,-3.2838233e-05,-8.7298479e-05,5.4460246e-05,39.950358
580.0,-2.3638883e-05,-5.3178868e-05,2.9539985e-05,27.270894
590.0,-1.5856107e-05,-3.0969494e-05,1.5113387e-05,17.894389
600.0,-1.050223e-05,-1.83081788e-05,7.8059488e-06,11.909167
610.0,-7.1271836e-06,-1.1404633599999999e-05,4.27745e-06,8.2233975
620.0,-5.0571459e-06,-7.6285745e-06,2.5714286e-06,5.9804885
630.0,-3.7410017e-06,-5.4437336e-06,1.7027319e-06,4.6008904
640.0,-2.8611474e-06,-4.087087e-06,1.2259396e-06,3.6727897
650.0,-2.2608591e-06,-3.20694147e-06,9.4608237e-07,3.0265536
660.0,-1.8284809e-06,-2.5806632399999998e-06,7.5218234e-07,2.5476628
670.0,-1.4982097e-06,-2.1032756e-06,6.050659e-07,2.1538353
680.0,-1.2192679e-06,-1.7074905599999998e-06,4.8822266e-07,1.8199616
690.0,-1.0037813e-06,-1.4013867499999998e-06,3.9760545e-07,1.542154
700.0,-8.4170087e-07,-1.17942319e-06,3.3772232e-07,1.3217588
710.0,-7.0716163e-07,-1.00654835e-06,2.9938672e-07,1.1476713
720.0,-5.8714376e-07,-8.5001073e-07,2.6286697e-07,0.99799462
730.0,-4.9607031e-07,-7.2125569e-07,2.2518538e-07,0.86851409
740.0,-4.3782455e-07,-6.3131202e-07,1.9348747e-07,0.76126173
750.0,-3.9383664e-07,-5.632585200000001e-07,1.6942188e-07,0.67263096
760.0,-3.5783783e-07,-5.0863348e-07,1.5079565e-07,0.59937651
770.0,-3.275238e-07,-4.6244647999999995e-07,1.3492268e-07,0.53735714
780.0,-3.0030768e-07,-4.2192001e-07,1.2161233e-07,0.48447874
790.0,-2.7385358e-07,-3.8580526e-07,1.1195168e-07,0.43917198
800.0,-2.4883328e-07,-3.5315024000000003e-07,1.0431696e-07,0.39938151
810.0,-2.2823445e-07,-3.24284923e-07,9.6050473e-08,0.36391892
820.0,-2.1267239e-07,-2.99896448e-07,8.7224058e-08,0.33272249
830.0,-1.9797849e-07,-2.77362271e-07,7.9383781e-08,0.30597243
840.0,-1.8179667e-07,-2.54026669e-07,7.2229999e-08,0.28245478
850.0,-1.6423769e-07,-2.27975458e-07,6.3737768e-08,0.25978509
860.0,-1.4968774e-07,-2.0474492e-07,5.505718e-08,0.23820985
870.0,-1.3937103e-07,-1.8803884699999998e-07,4.8667817e-08,0.21954275
880.0,-1.3000476e-07,-1.7414583600000002e-07,4.4141076e-08,0.2037468
890.0,-1.2116765e-07,-1.6149015399999998e-07,4.0322504e-08,0.18963155
900.0,-1.1626056e-07,-1.53958218e-07,3.7697658e-08,0.17714697
910.0,-1.1427088e-07,-1.50669533e-07,3.6398653e-08,0.16632532
920.0,-1.1363595e-07,-1.49522806e-07,3.5886856e-08,0.15711506
930.0,-1.1275565e-07,-1.48228607e-07,3.5472957e-08,0.14900556
940.0,-1.1036558e-07,-1.45280132e-07,3.4914552e-08,0.1415284
950.0,-1.0572595e-07,-1.39396381e-07,3.3670431e-08,0.13419845
960.0,-9.8995154e-08,-1.30651981e-07,3.1656827e-08,0.12668349
970.0,-9.1731346e-08,-1.21135428e-07,2.9404082e-08,0.11920767
980.0,-8.492885e-08,-1.12259209e-07,2.7330359e-08,0.11210253
990.0,-7.845034e-08,-1.0396167199999999e-07,2.5511332e-08,0.10548896
1000.0,nan,nan,nan,nan
