#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.0023416033,0.00011656609999999984,0.0022250372,1.5182535
410.0,0.0022964274,0.00010741770000000008,0.0021890097,1.5267023
420.0,0.0022444309,9.843429999999978e-05,0.0021459966,1.5310314
430.0,0.0021883869,8.968849999999983e-05,0.0020986984,1.5303649
440.0,0.0021330073,8.131359999999973e-05,0.0020516937,1.5240127
450.0,0.0020740118,7.329260000000018e-05,0.0020007192,1.5128562
460.0,0.0019978756,6.502669999999995e-05,0.0019328489,1.4935603
470.0,0.0019334955,5.8095800000000034e-05,0.0018753997,1.4759507
480.0,0.0018737258,5.1967399999999905e-05,0.0018217584,1.4559949
490.0,0.0018539264,4.8803899999999914e-05,0.0018051225,1.457225
500.0,0.0018983204,4.996579999999996e-05,0.0018483546,1.5005281
510.0,0.0020222555,5.651519999999967e-05,0.0019657403,1.6128467
520.0,0.0022101915,6.688089999999994e-05,0.0021433106,1.7988164
530.0,0.0023611097,7.266619999999994e-05,0.0022884435,1.9715852
540.0,0.0023781311,7.014840000000005e-05,0.0023079827,2.0664524
550.0,0.002311795,6.527960000000032e-05,0.0022465154,2.1444816
560.0,0.0022532549,6.531759999999984e-05,0.0021879373,2.3035824
570.0,0.0022532539,7.49975e-05,0.0021782564,2.599023
580.0,0.0023466056,9.826360000000011e-05,0.002248342,3.1011223
590.0,0.0026281319,0.00014489089999999982,0.002483241,4.0901907
600.0,0.0031806926,0.0002288358,0.0029518568,6.023853
610.0,0.0041627149,0.00037888330000000053,0.0037838316,9.7601138
620.0,0.005859073,0.0006536140000000003,0.005205459,17.084089
630.0,0.0088021416,0.0011774145000000005,0.0076247271,31.951317
640.0,0.014041966,0.002199511999999999,0.011842454,62.800054
650.0,0.020400431,0.0036606469999999995,0.016739784,110.83454
660.0,0.019422275,0.0039025149999999988,0.01551976,125.88725
670.0,0.012206429,0.0026347413999999996,0.0095716876,90.78716
680.0,0.0071663545,0.0016346488,0.0055317057,60.253759
690.0,0.0044991553,0.0010676478,0.0034315075,42.115553
700.0,0.0030405819,0.0007405364000000001,0.0023000455,31.270439
710.0,0.0021891036,0.0005418880000000001,0.0016472156,24.486108
720.0,0.00163655,0.00041127860000000015,0.0012252714,19.879478
730.0,0.001273306,0.0003231966200000001,0.00095010938,16.700753
740.0,0.0010294618,0.00026224482,0.00076721698,14.46669
750.0,0.00085385138,0.00021740591,0.00063644547,12.789361
760.0,0.00072398406,0.00018340565,0.00054057841,11.492658
770.0,0.00062280392,0.00015668530000000004,0.00046611862,10.449738
780.0,0.0005420588,0.00013540756000000003,0.00040665124,9.6025039
790.0,0.00047677113,0.00011817187999999998,0.00035859925,8.903388
800.0,0.0004233957,0.00010402923,0.00031936647,8.3208238
810.0,0.0003789509,9.227064000000003e-05,0.00028668026,7.8284679
820.0,0.00034150634,8.237818000000002e-05,0.00025912816,7.4074144
830.0,0.00030688349,7.391257999999997e-05,0.00023297091,7.0402691
840.0,0.00027769443,6.667358000000002e-05,0.00021102085,6.7207434
850.0,0.00025333589,6.0441650000000004e-05,0.00019289424,6.4419948
860.0,0.00023312747,5.503823000000001e-05,0.00017808924,6.1993988
870.0,0.00021618069,5.033016e-05,0.00016585053,5.9869024
880.0,0.00020163647,4.620954e-05,0.00015542693,5.7981076
890.0,0.00018897169,4.2570560000000006e-05,0.00014640113,5.6287095
900.0,0.00017931198,3.938736999999998e-05,0.00013992461,5.4782574
