lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.0069201254,0.0008951495000000002,0.0060249759,1.576692,0.738,0.9333,2.18036,1.58331,0.61617,3.84964
410.0,0.0068196803,0.0008386671000000009,0.0059810131999999995,1.5973312,0.74406,0.94893,2.2053,1.60407,0.62871,3.89789
420.0,0.0066976027,0.0007806605000000005,0.0059169422,1.6127594,0.74683,0.96248,2.22371,1.61957,0.63976,3.92859
430.0,0.0065603727,0.0007220628999999998,0.0058383098,1.6216919,0.74097,0.97674,2.22975,1.62852,0.65544,3.92686
440.0,0.0064215056,0.0006646120000000002,0.0057568936,1.6231957,0.71818,0.99787,2.2145,1.63001,0.68672,3.8715
450.0,0.006268831999999999,0.000607776899999999,0.0056610551,1.6178306,0.68481,1.02128,2.18341,1.62456,0.72529,3.77746
460.0,0.0060628664,0.0005463161999999999,0.0055165502,1.6008914,0.64669,1.0377,2.1367,1.60739,0.75495,3.64829
470.0,0.005887548100000001,0.0004943081000000011,0.00539324,1.5851124,0.59897,1.06376,2.0829,1.59143,0.79423,3.49778
480.0,0.0057291346,0.00044883719999999974,0.0052802974,1.5665152,0.5265,1.1083,2.00567,1.57262,0.85064,3.2821
490.0,0.005692988100000001,0.00042831640000000077,0.0052646717,1.576534,0.45672,1.18048,1.95776,1.5827,0.92822,3.12464
500.0,0.0058619693,0.0004466993000000006,0.00541527,1.6475572,0.40001,1.30829,1.98103,1.65433,1.0422,3.11305
510.0,0.006296040300000001,0.0005161736000000002,0.0057798667000000005,1.8260629,0.3959,1.50043,2.15367,1.83453,1.13544,3.44868
520.0,0.0069721898,0.0006285398999999999,0.0063436499,2.1412283,0.49455,1.73254,2.55115,2.15317,1.22755,4.36483
530.0,0.0076164762,0.0007126156999999996,0.0069038605,2.4912121,0.71098,1.89676,3.10765,2.50863,1.15348,5.72593
540.0,0.007878934300000001,0.0007228121000000011,0.0071561222,2.7600187,0.95938,1.96513,3.599,2.78505,0.89126,6.9389
550.0,0.0077680678,0.0006950216000000007,0.0070730462,2.9293934,1.26,1.92352,3.86126,2.96468,0.50987,11.93599
560.0,0.0076297519,0.0007153650999999987,0.006914386800000001,3.1290774,1.62583,1.84875,4.27937,3.17713,0.04725,18.62725
570.0,0.0078481732,0.000866723199999999,0.00698145,3.5804476,1.98724,1.97687,4.97959,3.64503,0.2184,24.04148
580.0,0.008736039000000001,0.001223879800000001,0.0075121592,4.612658,2.38054,2.78117,6.27802,4.70169,0.63962,26.04502
590.0,0.010737173999999999,0.001928857899999999,0.0088083161,6.8233053,3.15416,4.46052,9.00338,6.95368,0.63862,24.5405
600.0,0.014312045,0.0031979590000000002,0.011114086,11.17182,5.06153,7.35587,14.81398,11.37453,0.54291,32.45904
610.0,0.020233015,0.005415166000000001,0.014817849,19.402024,9.44077,12.12901,26.37536,19.73171,1.20662,60.41035
620.0,0.028863233,0.008962524999999999,0.019900708,33.693384,18.03969,19.42177,47.45993,34.24111,2.75159,109.64632
630.0,0.037789854,0.013331172999999998,0.024458681,53.220505,31.0176,28.26241,77.53252,54.09163,1.84436,180.82731
640.0,0.039626616,0.015548317000000006,0.024078298999999997,66.334023,41.48651,32.58814,99.06621,67.45926,1.14002,233.59069
650.0,0.031853117,0.013643941,0.018209176,62.418154,41.29936,28.5512,95.17343,63.49964,3.16788,230.90921
