lambda,qEXT,qSCA,qABS,eSQU
400,0.001227034,3.29E-05,0.001194157,1.5126746
410,0.001202934,3.02E-05,0.001172746,1.5189371
420,0.001174618,2.75E-05,0.00114708,1.5207392
430,0.001143161,2.49E-05,0.001118221,1.5170475
440,0.001109873,2.24E-05,0.001087478,1.5064882
450,0.001073558,2.00E-05,0.001053594,1.4909326
460,0.001028012,1.75E-05,0.001010512,1.4675565
470,0.00098768,1.54E-05,0.000972249,1.4459793
480,0.000942124,1.34E-05,0.000928679,1.4174341
490,0.00091172,1.22E-05,0.000899483,1.4064541
500,0.00089958,1.21E-05,0.000887528,1.4275867
510,0.000903074,1.32E-05,0.000889849,1.5052531
520,0.000914978,1.60E-05,0.000898945,1.6697421
530,0.000991964,2.12E-05,0.000970723,1.9812488
540,0.001116033,2.93E-05,0.001086765,2.4927424
550,0.001304688,4.16E-05,0.001263123,3.3139867
560,0.001545829,5.95E-05,0.001486334,4.5603781
570,0.001908418,8.79E-05,0.001820486,6.6029125
580,0.002488144,0.000134614,0.002353529,10.159352
590,0.003489999,0.000216199,0.003273801,16.814606
600,0.005104851,0.000354496,0.004750354,29.019651
610,0.007198877,0.000548089,0.006650789,47.944192
620,0.008408073,0.000688285,0.007719788,64.990111
630,0.007511753,0.000651265,0.006860488,66.871367
640,0.005620776,0.000505596,0.00511518,56.726974
650,0.00405396,0.000372102,0.003681858,45.732838
660,0.00303923,0.000281197,0.002758033,37.810976
670,0.00235135,0.000222675,0.002128674,32.136537
680,0.001778671,0.000178525,0.001600146,27.252027
690,0.001331163,0.000142299,0.001188864,22.895037
700,0.00101372,0.00011397,0.00089975,19.343772
710,0.000791579,9.28E-05,0.000698823,16.607587
720,0.000623282,7.65E-05,0.000546763,14.433237
730,0.000495496,6.39E-05,0.000431629,12.688515
740,0.000402893,5.40E-05,0.000348869,11.322375
750,0.000333231,4.62E-05,0.00028701,10.226695
760,0.000280562,3.99E-05,0.000240629,9.3349358
770,0.000239732,3.48E-05,0.000204947,8.5962022
780,0.000207184,3.05E-05,0.000176639,7.9807102
790,0.000181208,2.70E-05,0.000154199,7.4655416
800,0.000160409,2.40E-05,0.000136368,7.0326133
810,0.000143483,2.15E-05,0.00012195,6.6664316
820,0.00012938,1.94E-05,0.000109983,6.3531433
830,0.000116158,1.75E-05,9.86E-05,6.0784746
840,0.000104961,1.59E-05,8.90E-05,5.8383783
850,9.55E-05,1.46E-05,8.10E-05,5.6273517
860,8.74E-05,1.33E-05,7.40E-05,5.4390111
870,8.04E-05,1.23E-05,6.81E-05,5.2690963
880,7.42E-05,1.13E-05,6.29E-05,5.1156266
890,6.88E-05,1.05E-05,5.84E-05,4.97636
900,6.48E-05,9.71E-06,5.50E-05,4.853083
