lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
800.0,-8.7787019e-05,-0.000107845717,2.0058698e-05,9.4513862,8.52578,1.84322,15.93907,9.48861,0.0004,32.63084
810.0,-7.6223522e-05,-9.302895800000001e-05,1.6805436e-05,7.9100178,7.09348,1.57631,13.42428,7.93507,0.00079,28.37194
820.0,-6.7275759e-05,-8.1745658e-05,1.4469899e-05,6.7100619,5.96913,1.35772,11.38915,6.72718,0.00139,25.31979
830.0,-5.9782193e-05,-7.2466691e-05,1.2684498e-05,5.7671363,5.07933,1.21769,9.7607,5.77958,0.00667,23.34722
840.0,-5.3763934e-05,-6.5075701e-05,1.1311767e-05,5.0250727,4.38114,1.11866,8.46083,5.03394,0.0068,20.73145
850.0,-4.8990427e-05,-5.921653e-05,1.0226103e-05,4.4321578,3.8352,1.01403,7.36786,4.44302,0.00069,16.98808
860.0,-4.5103164e-05,-5.44299275e-05,9.3267635e-06,3.9570533,3.41302,0.93774,6.55616,3.97515,0.00018,14.26498
870.0,-4.156584e-05,-5.0027189599999994e-05,8.4613496e-06,3.5642597,3.07248,0.88359,5.90533,3.58563,0.0023,14.0432
880.0,-3.8037005e-05,-4.55847267e-05,7.547721700000002e-06,3.2232241,2.78082,0.81068,5.33584,3.24159,0.01005,12.92752
890.0,-3.4450355e-05,-4.10562491e-05,6.605894099999998e-06,2.91653,2.52196,0.71679,4.79789,2.93076,0.00071,11.13449
900.0,-3.128946e-05,-3.7024354700000006e-05,5.7348947e-06,2.6429882,2.29258,0.64078,4.37658,2.65447,0.00248,9.84939
