lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
633.0,-0.0029380165,-0.0050599046,0.0021218881,355.63313,334.97313,74.98273,621.20383,370.37695,0.9561,1345.3617
635.0,-0.0027382398,-0.0046384829,0.0019002431,330.91942,312.10375,69.27525,578.17895,344.59757,0.70937,1253.793
637.0,-0.002527233,-0.0042144528,0.0016872198,305.0997,288.10735,63.35095,533.57249,317.67469,0.52903,1158.7188
639.0,-0.002314596,-0.0038029475,0.0014883515,279.27767,264.02769,57.44215,488.88663,290.75715,0.40704,1064.0341
640.0,-0.0022100552,-0.0036053904999999997,0.0013953353,266.63784,252.21524,54.66712,466.69279,277.58338,0.36359,1017.7586
641.0,-0.0021076813,-0.0034146107999999996,0.0013069295,254.28919,240.66002,52.00312,445.27291,264.7144,0.33075,972.54311
643.0,-0.0019115519,-0.0030559124,0.0011443605,230.69992,218.54647,46.8762,404.36206,240.13436,0.28499,885.96738
645.0,-0.0017292513,-0.0027298788,0.0010006275,208.84133,198.01005,42.31351,365.99768,217.36122,0.1836,805.28877
647.0,-0.0015622402,-0.00243702094,0.0008747807400000001,188.86104,179.2008,38.05802,331.0185,196.54771,0.11377,730.99997
649.0,-0.0014108264,-0.00217616999,0.00076534359,170.77632,162.14452,34.23459,299.2897,177.71095,0.06915,663.17272
650.0,-0.0013408526,-0.00205709716,0.0007162445599999999,162.42575,154.25863,32.54729,284.61742,169.01378,0.05463,631.6447
651.0,-0.0012745699,-0.00194516943,0.00067059953,154.51896,146.78564,30.92953,270.80949,160.77925,0.04438,601.66302
653.0,-0.0011525739,-0.00174136997,0.00058879607,139.97052,133.01962,27.99211,245.3874,145.62872,0.03522,546.15335
655.0,-0.0010437027,-0.0015619557500000001,0.00051825305,126.9878,120.71735,25.45332,222.49058,132.10983,0.03861,496.20059
657.0,-0.00094673493,-0.0014041743400000002,0.00045743941,115.41939,109.74021,23.02201,202.1632,120.0647,0.05213,451.25877
659.0,-0.0008604528699999999,-0.0012654278899999999,0.00040497502,105.1161,99.95139,20.9838,183.95956,109.33777,0.07396,410.7739
660.0,-0.00082145538,-0.00120329034,0.00038183496,100.34105,95.41155,20.02125,175.4801,104.36686,0.08761,391.80811
661.0,-0.0007851353,-0.00114574868,0.00036061338,95.785527,91.07915,19.05765,167.5425,99.6248,0.10278,373.56434
663.0,-0.00071845811,-0.0010408195999999999,0.00032236148999999995,87.434814,83.13322,17.33207,152.89038,90.93296,0.11873,339.81168
665.0,-0.0006589402900000001,-0.0009479389500000002,0.00028899866,79.992828,76.04843,15.87182,139.82413,83.18802,0.0824,309.3777
667.0,-0.0006057388099999999,-0.0008655484299999999,0.00025980962,73.347378,69.72005,14.59201,128.08058,76.27316,0.06121,282.12254
669.0,-0.00055810847,-0.0007923022900000001,0.00023419382,67.400744,64.05638,13.41777,117.67813,70.08651,0.05148,260.64422
670.0,-0.0005361774400000001,-0.0007587458700000001,0.00022256843,64.662607,61.44845,12.87345,112.86121,67.23826,0.0499,250.76152
671.0,-0.00051539975,-0.0007270563699999999,0.00021165662,62.068362,58.97756,12.38196,108.35851,64.53996,0.04992,241.39477
673.0,-0.00047703462,-0.0006688129000000001,0.00019177828000000005,57.276658,54.41387,11.42987,100.13536,59.55673,0.05377,224.07037
675.0,-0.00044251287,-0.00061672437,0.00017421150000000002,52.96231,50.30526,10.56837,92.65853,55.07076,0.06099,208.37257
680.0,-0.00037023013,-0.00050878474,0.00013855461000000002,43.918635,41.69602,8.92795,76.98929,45.66949,0.08412,174.6499
690.0,-0.00027033974,-0.00036251808500000003,9.2178345e-05,31.349294,29.75228,6.43889,54.94545,32.60369,0.06321,124.75258
700.0,-0.00020513681,-0.000269103642,6.3966832e-05,23.143153,21.97102,4.77742,40.50738,24.06998,0.05128,92.38771
710.0,-0.0001604977,-0.000206469191,4.5971491e-05,17.57216,16.67453,3.63256,30.81847,18.27498,0.03015,71.37974
720.0,-0.00012684786,-0.00016032554000000002,3.347768e-05,13.541319,12.8432,2.79826,23.74818,14.08361,0.00819,54.11242
730.0,-0.00010250017,-0.000127604488,2.5104318e-05,10.678648,10.12389,2.19392,18.68295,11.10542,0.00644,42.32603
740.0,-8.551867899999999e-05,-0.00010518380999999999,1.9665131e-05,8.6652766,8.20732,1.76454,15.16085,9.00981,0.02118,36.73713
750.0,-7.2636888e-05,-8.8428455e-05,1.5791567e-05,7.152705,6.76323,1.47477,12.45717,7.43553,0.00893,31.90402
760.0,-6.2774897e-05,-7.5770261e-05,1.2995364e-05,5.9914775,5.65345,1.25923,10.40991,6.22787,0.01192,27.86629
770.0,-5.4687718e-05,-6.554925e-05,1.0861532e-05,5.0640723,4.76929,1.07422,8.80236,5.26448,0.01142,23.62447
780.0,-4.801576e-05,-5.72409183e-05,9.2251583e-06,4.3241488,4.06374,0.92478,7.49634,4.49643,0.00528,19.25511
