#Lambda,Qext,Qsca,Qabs,E^2
400.0,3.0824322e-05,-3.0236719e-05,6.1061041e-05,2.9466314
410.0,3.0175904e-05,-3.0358721000000002e-05,6.0534625e-05,2.9906587
420.0,2.948913e-05,-3.0070581e-05,5.9559711e-05,3.0096592
430.0,2.9249226e-05,-2.9718039e-05,5.8967265e-05,3.0353167
440.0,3.0339347e-05,-2.9949096999999996e-05,6.0288444e-05,3.1256878
450.0,3.1776535e-05,-3.0069296000000003e-05,6.1845831e-05,3.2315592
460.0,3.2418631e-05,-2.8935348e-05,6.1353979e-05,3.2536831
470.0,3.3982838e-05,-2.8687317e-05,6.2670155e-05,3.3675096
480.0,3.8466247e-05,-3.0260747999999998e-05,6.8726995e-05,3.6612642
490.0,4.5658916e-05,-3.5450615000000003e-05,8.1109531e-05,4.3079061
500.0,5.8850006e-05,-4.906099400000001e-05,0.000107911,5.8562668
510.0,8.0818401e-05,-7.852346900000002e-05,0.00015934187,9.4077408
520.0,0.0001107785,-0.00013169753,0.00024247603,16.914219
530.0,0.00012341069,-0.00019082303000000003,0.00031423372,26.649913
540.0,0.00011077628,-0.00023883299000000002,0.00034960927,36.810642
550.0,7.6331267e-05,-0.000259167663,0.00033549893,44.255149
560.0,3.9481683e-05,-0.000261645137,0.00030112682,50.179337
570.0,5.5548044e-06,-0.0002582764856,0.00026383129,55.823356
580.0,-2.4639472e-05,-0.00026056089199999997,0.00023592142,63.267587
590.0,-5.6003272e-05,-0.000279117362,0.00022311409,75.110596
600.0,-9.4369207e-05,-0.000323230967,0.00022886176,95.650631
610.0,-0.00015043983,-0.00040838599,0.00025794616,131.87056
620.0,-0.00024016299,-0.00055727602,0.00031711303,195.80509
630.0,-0.00037421749,-0.0007794600899999999,0.0004052426,299.13343
640.0,-0.00048542667,-0.00093774239,0.00045231572,389.22106
650.0,-0.00040662853,-0.0007507156000000001,0.00034408707,332.19754
660.0,-0.00024583739,-0.00044960862999999997,0.00020377124,206.83457
670.0,-0.00014149859,-0.00026323016,0.00012173157,120.92947
680.0,-8.5764327e-05,-0.00016240526699999998,7.664094e-05,74.621282
690.0,-5.5717924e-05,-0.000106937975,5.1220051e-05,49.087892
700.0,-3.8409467e-05,-7.3844029e-05,3.5434562e-05,33.828727
710.0,-2.8170137e-05,-5.2950062e-05,2.4779925e-05,24.296823
720.0,-2.1327561e-05,-3.8861334999999996e-05,1.7533774e-05,17.952217
730.0,-1.6794811e-05,-2.9616302000000002e-05,1.2821491e-05,13.699928
740.0,-1.3774357e-05,-2.36787108e-05,9.9043538e-06,10.843613
750.0,-1.1521004e-05,-1.95865396e-05,8.0655356e-06,8.7977719
760.0,-9.8210497e-06,-1.6519357200000002e-05,6.6983075e-06,7.2627746
770.0,-8.4349358e-06,-1.40574149e-05,5.6224791e-06,6.0564891
780.0,-7.3245829e-06,-1.21379403e-05,4.8133574e-06,5.1131501
790.0,-6.4164277e-06,-1.0593314e-05,4.1768863e-06,4.3671721
800.0,-5.6715756e-06,-9.3487289e-06,3.6771533e-06,3.7690604
810.0,-5.0674848e-06,-8.3661133e-06,3.2986285e-06,3.2878504
820.0,-4.5671983e-06,-7.5980829e-06,3.0308846e-06,2.8984083
830.0,-4.1068054e-06,-6.9113723e-06,2.8045669e-06,2.5734931
840.0,-3.7195769e-06,-6.2924655e-06,2.5728886e-06,2.2965018
850.0,-3.3833666e-06,-5.7104017e-06,2.3270351e-06,2.0559974
860.0,-3.1080409e-06,-5.2263884e-06,2.1183475e-06,1.8508349
870.0,-2.8917918e-06,-4.8489983e-06,1.9572065e-06,1.6783223
880.0,-2.7157779e-06,-4.5504211e-06,1.8346432e-06,1.533239
890.0,-2.5657678e-06,-4.3170248e-06,1.751257e-06,1.4121903
900.0,-2.4556768e-06,-4.158464e-06,1.7027872e-06,1.3112255
