#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.00010099067,-0.00011581872999999999,0.0002168094,3.6611026
410.0,9.8373692e-05,-0.00011678898799999999,0.00021516268,3.7226934
420.0,9.5739385e-05,-0.00011607143499999999,0.00021181082,3.7485636
430.0,9.4808843e-05,-0.00011514699700000001,0.00020995584,3.7853127
440.0,9.8698941e-05,-0.000116791359,0.0002154903,3.9188807
450.0,0.00010402558,-0.00011816178,0.00022218736,4.0788296
460.0,0.00010685299,-0.00011437905999999999,0.00022123205,4.118514
470.0,0.00011303214,-0.00011442977000000001,0.00022746191,4.2964966
480.0,0.00012999183,-0.00012249536999999998,0.0002524872,4.7544817
490.0,0.00015687163,-0.00014656682,0.00030343845,5.7715742
500.0,0.00020597609,-0.00020921034000000003,0.00041518643,8.2791109
510.0,0.00028802338,-0.00034844019,0.00063646357,14.310023
520.0,0.00039936484,-0.00061024476,0.0010096096,27.767581
530.0,0.00043589598,-0.00091534682,0.0013512428,45.952173
540.0,0.00036783347,-0.00119138323,0.0015592167,66.005552
550.0,0.0002123628,-0.0013673445,0.0015797073,82.908355
560.0,4.0978095e-05,-0.0014892692050000001,0.0015302473,99.534903
570.0,-0.00013612397,-0.0016130791699999999,0.0014769552,118.87955
580.0,-0.00032875645,-0.00180101885,0.0014722624,146.76056
590.0,-0.00058378651,-0.00213345891,0.0015496724,191.93674
600.0,-0.00094752039,-0.00266585689,0.0017183365,264.93174
610.0,-0.0013594746,-0.0031822926,0.001822818,347.84454
620.0,-0.0014301877,-0.0029249655,0.0014947778,351.33989
630.0,-0.0010455781,-0.00193163494,0.00088605684,256.57353
640.0,-0.00063266031,-0.00107885865,0.00044619834,157.06977
650.0,-0.00037846893,-0.00060578869,0.00022731976,95.616125
660.0,-0.00023811377,-0.00036217529999999995,0.00012406153,61.246181
670.0,-0.00016109685,-0.000235259194,7.4162344e-05,41.177506
680.0,-0.00011463062,-0.000162017611,4.7386991e-05,29.036505
690.0,-8.5669196e-05,-0.00011796942099999999,3.2300225e-05,21.362402
700.0,-6.6368911e-05,-8.9406688e-05,2.3037777e-05,16.192973
710.0,-5.281045e-05,-6.9802199e-05,1.6991749e-05,12.594254
720.0,-4.225099e-05,-5.4914918e-05,1.2663928e-05,9.9186226
730.0,-3.4482972e-05,-4.4248238499999996e-05,9.7652665e-06,7.9709436
740.0,-2.8970023e-05,-3.6859543e-05,7.88952e-06,6.5740048
750.0,-2.4683521e-05,-3.12500457e-05,6.5665247e-06,5.5062832
760.0,-2.1350586e-05,-2.70277015e-05,5.6771155e-06,4.6758303
770.0,-1.8582635e-05,-2.35803177e-05,4.9976827e-06,4.0053486
780.0,-1.6278617e-05,-2.07299418e-05,4.4513248e-06,3.4618539
790.0,-1.4360768e-05,-1.83691661e-05,4.0083981e-06,3.0164477
800.0,-1.2744459e-05,-1.64103487e-05,3.6658897e-06,2.6494171
810.0,-1.136865e-05,-1.47972689e-05,3.4286189e-06,2.3470671
820.0,-1.0175066e-05,-1.34262758e-05,3.2512098e-06,2.0954705
830.0,-9.0053094e-06,-1.2111572599999999e-05,3.1062632e-06,1.8837646
840.0,-7.9644951e-06,-1.09914153e-05,3.0269202e-06,1.7077823
850.0,-7.0532821e-06,-1.00792203e-05,3.0259382e-06,1.5620853
860.0,-6.2728068e-06,-9.3502002e-06,3.0773934e-06,1.4410359
870.0,-5.6010169e-06,-8.737781299999999e-06,3.1367644e-06,1.3381207
880.0,-5.0006291e-06,-8.2180324e-06,3.2174033e-06,1.2509178
890.0,-4.4668571e-06,-7.7750575e-06,3.3082004e-06,1.1756956
900.0,-4.0818274e-06,-7.4506133e-06,3.3687859e-06,1.1056081
