lambda,qEXT,qSCA,qABS,eSQU
300,0.000300807,5.65E-06,0.000295153,2.3840205
305,0.000294214,5.28E-06,0.000288931,2.3795926
310,0.000289234,4.96E-06,0.000284271,2.3805766
315,0.000282512,4.64E-06,0.000277872,2.3739863
320,0.000277192,4.35E-06,0.000272837,2.3711778
325,0.000277781,4.16E-06,0.00027362,2.3906828
330,0.000278707,3.98E-06,0.000274728,2.410434
335,0.000276443,3.76E-06,0.000272682,2.4132554
340,0.000271543,3.52E-06,0.000268021,2.4024536
345,0.000265066,3.28E-06,0.000261788,2.382207
350,0.000258876,3.06E-06,0.000255816,2.3653744
355,0.000253979,2.88E-06,0.000251096,2.3601087
360,0.000251609,2.76E-06,0.000248846,2.3765728
365,0.000249898,2.66E-06,0.000247235,2.3999937
370,0.000248702,2.58E-06,0.000246122,2.4302434
375,0.000247194,2.50E-06,0.000244696,2.4592047
380,0.000245221,2.41E-06,0.000242809,2.4839281
385,0.000241825,2.31E-06,0.000239518,2.4940737
390,0.000237965,2.20E-06,0.000235768,2.4968233
395,0.000234138,2.09E-06,0.000232049,2.496832
400,0.000230904,1.99E-06,0.000228912,2.4989504
405,0.000228348,1.90E-06,0.000226444,2.5043952
410,0.000225999,1.82E-06,0.000224178,2.5092747
415,0.000223495,1.74E-06,0.000221758,2.5107835
420,0.000220721,1.65E-06,0.000219067,2.507832
425,0.000218465,1.58E-06,0.000216887,2.5066978
430,0.000216714,1.51E-06,0.000215206,2.5074075
435,0.000216521,1.45E-06,0.000215069,2.5191688
440,0.000216744,1.40E-06,0.000215343,2.5323983
445,0.000217254,1.35E-06,0.000215903,2.5460678
450,0.000218052,1.31E-06,0.000216747,2.5602414
455,0.000217115,1.24E-06,0.000215872,2.5515934
460,0.000216692,1.19E-06,0.000215504,2.5472085
465,0.000217317,1.14E-06,0.000216175,2.5535294
470,0.00021904,1.11E-06,0.000217932,2.5714471
475,0.000223345,1.09E-06,0.000222256,2.6094516
480,0.000230109,1.09E-06,0.000229018,2.6805494
485,0.000239271,1.12E-06,0.000238153,2.7926275
490,0.000251357,1.17E-06,0.000250184,2.9586538
495,0.00026707,1.26E-06,0.000265805,3.1986624
500,0.000292433,1.46E-06,0.00029097,3.6461105
505,0.000322517,1.74E-06,0.000320776,4.2728238
510,0.000355546,2.10E-06,0.000353445,5.1061316
515,0.000389425,2.56E-06,0.000386865,6.1939577
520,0.000419003,3.11E-06,0.000415892,7.5524049
525,0.000420692,3.45E-06,0.00041724,8.5457638
530,0.000402989,3.63E-06,0.000399364,9.2258692
535,0.0003709,3.65E-06,0.000367249,9.5986105
540,0.000329266,3.54E-06,0.00032573,9.642189
545,0.000284157,3.32E-06,0.000280842,9.4055808
550,0.000241426,3.05E-06,0.000238379,9.0113207
555,0.000204347,2.79E-06,0.000201557,8.6087107
560,0.00017184,2.54E-06,0.000169305,8.1675116
565,0.000144176,2.29E-06,0.000141881,7.7218401
570,0.000121082,2.07E-06,0.000119008,7.2931923
575,0.000102027,1.87E-06,0.000100152,6.8931901
580,8.64E-05,1.70E-06,8.47E-05,6.5267458
585,7.35E-05,1.54E-06,7.20E-05,6.1831109
590,6.29E-05,1.40E-06,6.15E-05,5.8712673
595,5.42E-05,1.27E-06,5.29E-05,5.5966312
600,4.70E-05,1.17E-06,4.58E-05,5.3542352
605,4.10E-05,1.07E-06,3.99E-05,5.1397089
610,3.60E-05,9.90E-07,3.50E-05,4.9492644
615,3.19E-05,9.16E-07,3.09E-05,4.7796898
620,2.83E-05,8.52E-07,2.75E-05,4.6345918
625,2.54E-05,7.95E-07,2.46E-05,4.5077446
630,2.29E-05,7.44E-07,2.22E-05,4.3944296
635,2.09E-05,6.97E-07,2.02E-05,4.293888
640,1.93E-05,6.56E-07,1.86E-05,4.2053396
645,1.79E-05,6.19E-07,1.73E-05,4.1281135
650,1.68E-05,5.85E-07,1.62E-05,4.0608328
655,1.58E-05,5.55E-07,1.52E-05,4.000714
660,1.47E-05,5.28E-07,1.42E-05,3.9443534
665,1.37E-05,5.03E-07,1.32E-05,3.8864682
670,1.27E-05,4.79E-07,1.22E-05,3.8277512
675,1.17E-05,4.56E-07,1.12E-05,3.768515
680,1.08E-05,4.35E-07,1.03E-05,3.7105961
685,9.93E-06,4.14E-07,9.51E-06,3.6551957
690,9.20E-06,3.95E-07,8.81E-06,3.6026817
695,8.57E-06,3.77E-07,8.19E-06,3.5531306
700,8.03E-06,3.60E-07,7.67E-06,3.5066365
705,7.55E-06,3.44E-07,7.21E-06,3.4627237
710,7.12E-06,3.29E-07,6.79E-06,3.4212429
715,6.73E-06,3.15E-07,6.41E-06,3.3819657
720,6.38E-06,3.02E-07,6.08E-06,3.3447601
725,6.08E-06,2.89E-07,5.79E-06,3.3092634
730,5.81E-06,2.78E-07,5.53E-06,3.2752816
735,5.56E-06,2.67E-07,5.29E-06,3.2427224
740,5.32E-06,2.56E-07,5.06E-06,3.2116221
745,5.09E-06,2.46E-07,4.85E-06,3.1822521
750,4.89E-06,2.37E-07,4.66E-06,3.1547296
755,4.70E-06,2.28E-07,4.48E-06,3.1286728
760,4.53E-06,2.20E-07,4.31E-06,3.1034935
765,4.37E-06,2.12E-07,4.16E-06,3.0791358
770,4.22E-06,2.04E-07,4.01E-06,3.0557669
775,4.08E-06,1.97E-07,3.88E-06,3.0333994
780,3.95E-06,1.90E-07,3.76E-06,3.0118896
785,3.83E-06,1.83E-07,3.65E-06,2.9912053
790,3.72E-06,1.77E-07,3.54E-06,2.9714512
795,3.62E-06,1.71E-07,3.44E-06,2.9526841
800,3.52E-06,1.65E-07,3.35E-06,2.934899
