#Lambda,Qext,Qsca,Qabs,E^2
400.0,0.000560927,-0.00021620099999999996,0.000777128,3.3497462
410.0,0.000548259,-0.00021863099999999995,0.00076689,3.3890503
420.0,0.000534025,-0.000218125,0.00075215,3.3996964
430.0,0.000524343,-0.00021643599999999997,0.000740779,3.4108581
440.0,0.000529974,-0.000216837,0.000746811,3.473156
450.0,0.000538789,-0.00021627499999999993,0.000755064,3.5497179
460.0,0.000536073,-0.00020845599999999998,0.000744529,3.5465437
470.0,0.000545507,-0.00020571200000000004,0.000751219,3.6350263
480.0,0.00058684,-0.00021162699999999993,0.000798467,3.8707292
490.0,0.000661683,-0.00023806299999999995,0.000899746,4.4558713
500.0,0.000806827,-0.00030771300000000004,0.00111454,5.9110517
510.0,0.00105172,-0.00044772300000000013,0.001499443,9.2216224
520.0,0.001385728,-0.0006712930000000001,0.002057021,15.890587
530.0,0.001546885,-0.0008817579999999998,0.002428643,23.602842
540.0,0.001444524,-0.0009956180000000002,0.002440142,29.973875
550.0,0.001126811,-0.0009711660000000001,0.002097977,32.464594
560.0,0.000797946,-0.000875431,0.001673377,32.705677
570.0,0.000523149,-0.000764737,0.001287886,31.804857
580.0,0.000319972,-0.0006716280000000001,0.0009916,30.86244
590.0,0.000170922,-0.000605836,0.000776758,30.236673
600.0,6.43e-05,-0.00056012,0.00062442,30.086021
610.0,-1.46e-05,-0.0005311410000000001,0.000516541,30.393478
620.0,-7.93e-05,-0.000519081,0.000439781,31.400741
630.0,-0.000137399,-0.000519938,0.000382539,33.160791
640.0,-0.000196605,-0.000538616,0.000342011,35.565598
650.0,-0.00025743,-0.000570873,0.000313443,38.521366
660.0,-0.000316642,-0.0006117690000000001,0.000295127,42.062082
670.0,-0.000375592,-0.000667798,0.000292206,46.438622
680.0,-0.000438845,-0.000739473,0.000300628,52.566814
690.0,-0.000519047,-0.000841664,0.000322617,61.128134
700.0,-0.000637765,-0.000999859,0.000362094,73.48161
710.0,-0.000808832,-0.001231015,0.000422183,91.410586
720.0,-0.001091389,-0.0016135149999999998,0.000522126,122.23982
730.0,-0.001567,-0.002255543,0.000688543,174.05259
740.0,-0.002327596,-0.003275275,0.000947679,255.20235
750.0,-0.003563044,-0.004908413,0.001345369,383.74242
760.0,-0.005067041,-0.006846432,0.001779391,531.92504
770.0,-0.005499654,-0.007297222999999999,0.001797569,560.4405
780.0,-0.004221523,-0.0055068849999999996,0.001285362,417.82796
790.0,-0.002755539,-0.003539383,0.000783844,265.27587
800.0,-0.001783868,-0.002259073,0.000475205,167.16691
810.0,-0.001205401,-0.00150704,0.000301639,110.05906
820.0,-0.000854367,-0.001055774,0.000201407,76.138647
830.0,-0.000623339,-0.000761815,0.000138476,54.852034
840.0,-0.000470027,-0.000568427,9.84e-05,40.944063
850.0,-0.000364813,-0.00043691300000000004,7.21e-05,31.446756
860.0,-0.000290753,-0.000345053,5.43e-05,24.746024
870.0,-0.000237241,-0.000279241,4.2e-05,19.897317
880.0,-0.000197314,-0.000230414,3.31e-05,16.298826
890.0,-0.000166666,-0.000193366,2.67e-05,13.559673
900.0,-0.000144856,-0.000167056,2.22e-05,11.498028
910.0,-0.000127525,-0.000146225,1.87e-05,9.8580199
920.0,-0.000113171,-0.000129071,1.59e-05,8.5216908
930.0,-0.000101197,-0.000114797,1.36e-05,7.4212455
940.0,-9.11e-05,-0.00010290000000000001,1.18e-05,6.5062527
950.0,-8.25e-05,-9.27e-05,1.02e-05,5.7388596
960.0,-7.52e-05,-8.413e-05,8.93e-06,5.0905753
970.0,-6.88e-05,-7.668e-05,7.88e-06,4.5394484
980.0,-6.33e-05,-7.028999999999999e-05,6.99e-06,4.0678192
990.0,-5.82e-05,-6.441e-05,6.21e-06,3.6565486
1000.0,-0.000541757,-0.000361473,-0.000180284,0.4845973
