#Lambda,Qext,Qsca,Qabs,E^2
400.0,9.6398697e-05,-0.000127311343,0.00022371004,3.7814577
410.0,9.3308633e-05,-0.000128975427,0.00022228406,3.8498515
420.0,9.0338699e-05,-0.000128674051,0.00021901275,3.8799978
430.0,8.9249732e-05,-0.000128194078,0.00021744381,3.9242724
440.0,9.3204815e-05,-0.00013090095500000002,0.00022410577,4.0795208
450.0,9.8877819e-05,-0.00013348979100000002,0.00023236761,4.2696096
460.0,0.00010239405,-0.00013008051,0.00023247456,4.3313898
470.0,0.00010944858,-0.00013136433,0.00024081291,4.5520495
480.0,0.00012803462,-0.00014273768,0.0002707723,5.1019781
490.0,0.00015712506,-0.00017429421000000002,0.00033141927,6.3072581
500.0,0.00020992105,-0.00025616497000000005,0.00046608602,9.3001962
510.0,0.00029783598,-0.0004425412,0.00074037718,16.665769
520.0,0.00041565392,-0.00080650498,0.0012221589,33.696955
530.0,0.00044043889,-0.00125208281,0.0016925217,57.886086
540.0,0.00033414705,-0.00169628485,0.0020304319,87.073122
550.0,0.00010827661,-0.00203900359,0.0021472802,115.67543
560.0,-0.00016257174,-0.00234879524,0.0021862235,148.74739
570.0,-0.00048717784,-0.00271656934,0.0022293915,191.84175
580.0,-0.00088619616,-0.00318867146,0.0023024753,249.74809
590.0,-0.001290261,-0.0034964996,0.0022062386,299.58151
600.0,-0.0013458285,-0.0029945879,0.0016487594,278.62404
610.0,-0.00099261277,-0.0019128816000000002,0.00092026883,191.55182
620.0,-0.00063220569,-0.00109427333,0.00046206764,117.32744
630.0,-0.00040345349,-0.00064408338,0.00024062989,74.089773
640.0,-0.0002676795,-0.00040174084000000004,0.00013406134,49.053601
650.0,-0.0001860318,-0.000266985308,8.0953508e-05,34.431612
660.0,-0.00013330228,-0.00018527596,5.197368e-05,25.277782
670.0,-9.8576834e-05,-0.000133546844,3.497001e-05,18.969073
680.0,-7.4080904e-05,-9.809858700000001e-05,2.4017683e-05,14.461434
690.0,-5.752815e-05,-7.4768881e-05,1.7240731e-05,11.254409
700.0,-4.5919453e-05,-5.8779275999999996e-05,1.2859823e-05,8.9123437
710.0,-3.7519723e-05,-4.7431822e-05,9.912099e-06,7.1763194
720.0,-3.0831854e-05,-3.8524926e-05,7.693072e-06,5.8222166
730.0,-2.5766022e-05,-3.18495922e-05,6.0835702e-06,4.7949348
740.0,-2.2093099e-05,-2.70243083e-05,4.9312093e-06,4.0292918
750.0,-1.9211215e-05,-2.3281514600000002e-05,4.0702996e-06,3.4262217
760.0,-1.6939546e-05,-2.03673802e-05,3.4278342e-06,2.9451951
770.0,-1.5010962e-05,-1.79071247e-05,2.8961627e-06,2.5462378
780.0,-1.3371291e-05,-1.58322435e-05,2.4609525e-06,2.2165667
790.0,-1.1955056e-05,-1.40595023e-05,2.1044463e-06,1.941454
800.0,-1.0731945e-05,-1.2542120799999999e-05,1.8101758e-06,1.7093776
810.0,-9.6923828e-06,-1.1269320399999998e-05,1.5769376e-06,1.5129264
820.0,-8.8255708e-06,-1.02184205e-05,1.3928497e-06,1.3462413
830.0,-8.0231037e-06,-9.2594273e-06,1.2363236e-06,1.2031314
840.0,-7.3609742e-06,-8.4747497e-06,1.1137755e-06,1.0819248
850.0,-6.8087653e-06,-7.821421e-06,1.0126557e-06,0.97844024
860.0,-6.3327294e-06,-7.25677564e-06,9.2404624e-07,0.88898816
870.0,-5.9151006e-06,-6.76214132e-06,8.4704072e-07,0.81107415
880.0,-5.5459807e-06,-6.32750287e-06,7.8152217e-07,0.743144
890.0,-5.2124782e-06,-5.93614216e-06,7.2366396e-07,0.68354712
900.0,-4.9549703e-06,-5.6289358e-06,6.739655e-07,0.63213051
