lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
400.0,0.00026969789,-0.00019623963999999995,0.00046593753,3.6945514,2.26104,1.72722,5.57358,3.75316,1.14834,8.7729
410.0,0.00026331283,-0.00020195214999999998,0.00046526498,3.7818045,2.31378,1.76683,5.71025,3.84191,1.1762,8.96893
420.0,0.00025643415,-0.00020446811000000002,0.00046090226,3.832201,2.33829,1.79539,5.7831,3.89317,1.19785,9.06449
430.0,0.00025295619,-0.00020622186,0.00045917805,3.8898669,2.35403,1.83962,5.85809,3.95202,1.23631,9.14998
440.0,0.00026001343,-0.00021209160000000001,0.00047210503,4.0390733,2.39456,1.95364,6.04841,4.10459,1.3391,9.39433
450.0,0.00026983617,-0.00021717836999999999,0.00048701454,4.2117942,2.43252,2.09589,6.26116,4.28114,1.46788,9.65853
460.0,0.00027325656,-0.00021269009999999995,0.00048594666,4.2612848,2.39077,2.18193,6.2821,4.33195,1.56001,9.61874
470.0,0.00028438399,-0.00021478451,0.0004991685,4.4474162,2.4102,2.35112,6.49206,4.52205,1.72228,9.85699
480.0,0.00031923185,-0.00023135535,0.0005505872,4.9117841,2.48168,2.75695,7.02512,4.99707,2.10787,10.51403
490.0,0.00037684028,-0.00027720139,0.00065404167,5.9470307,2.81066,3.51508,8.35592,6.05361,2.79252,12.36677
500.0,0.00048482381,-0.00039269934999999995,0.00087752316,8.5004121,3.8726,5.16087,11.81281,8.65201,3.96759,17.59768
510.0,0.00066837325,-0.00064229185,0.0013106651,14.605982,6.86293,8.76339,20.36556,14.83667,6.15975,31.40933
520.0,0.00092717966,-0.0011015159399999997,0.0020286956,28.153471,14.36836,15.85692,40.02905,28.48315,9.93608,64.6782
525.0,0.001013355,-0.0013704603,0.0023838153,37.015505,20.02793,19.76108,53.44998,37.39315,11.68179,88.00421
527.0,0.0010343164,-0.0014794631,0.0025137795,40.804142,22.58926,21.26284,59.28531,41.20192,12.30912,98.21209
529.0,0.0010481089,-0.0015900026000000005,0.0026381115000000004,44.796727,25.36064,22.78195,65.40951,45.217,12.90641,109.08388
530.0,0.0010519194,-0.0016453741,0.0026972935,46.856921,26.81932,23.55277,68.69674,47.28838,13.19068,114.73639
531.0,0.0010535616,-0.0017004797000000002,0.0027540413,48.951757,28.31991,24.32009,72.04505,49.39456,13.46736,120.49766
533.0,0.0010495789,-0.0018086797,0.0028582586,53.205408,31.43473,25.77646,78.76358,53.67222,13.89347,132.2836
535.0,0.0010353891,-0.0019125836000000002,0.0029479727000000003,57.490827,34.66428,27.17692,85.68468,57.98168,14.18225,144.25226
