lambda,qEXT,qSCA,qABS,eSQU
400,0.004981046,0.000500993,0.004480052,1.7928758
410,0.004904534,0.000466841,0.004437692,1.8146646
420,0.00480931,0.000431726,0.004377584,1.8285909
430,0.004703047,0.000396565,0.004306482,1.8338016
440,0.004599296,0.000362673,0.004236624,1.8302404
450,0.004484881,0.000329441,0.004155439,1.8180904
460,0.004324347,0.000293268,0.004031079,1.7891234
470,0.004190806,0.000263359,0.003927446,1.7642213
480,0.004062427,0.000236603,0.003825824,1.7346235
490,0.004018621,0.000224087,0.003794534,1.7434021
500,0.004104424,0.000233421,0.003871003,1.8315481
510,0.004341102,0.000274773,0.004066329,2.0688962
520,0.004722541,0.000359452,0.004363089,2.5552257
530,0.005447624,0.000502512,0.004945112,3.3986851
540,0.006513293,0.000726157,0.005787136,4.7436042
550,0.008080065,0.001073167,0.007006898,6.8918209
560,0.01024306,0.001601652,0.008641408,10.374806
570,0.013475884,0.002459011,0.011016873,16.410001
580,0.018013014,0.003794035,0.014218979,26.538685
590,0.022615014,0.005418265,0.017196749,40.22971
600,0.023081152,0.006213069,0.016868083,49.371827
610,0.018299353,0.005464991,0.012834362,46.695519
620,0.01267118,0.004158968,0.008512212,38.287369
630,0.008590334,0.003086705,0.005503629,30.623321
640,0.005924474,0.002306547,0.003617927,24.657051
650,0.004231704,0.001766066,0.002465637,20.328403
660,0.00314154,0.001389113,0.001752427,17.194826
670,0.002442171,0.001116173,0.001325998,14.832842
680,0.001952955,0.000915583,0.001037372,13.042821
690,0.001603344,0.000764556,0.000838788,11.660484
700,0.00134654,0.000647771,0.000698769,10.566242
710,0.001152234,0.000555811,0.000596422,9.6865172
720,0.000997541,0.000481576,0.000515965,8.9599191
730,0.00087393,0.000421207,0.000452722,8.3579486
740,0.00077442,0.000371725,0.000402696,7.8568232
750,0.000692662,0.000330418,0.000362244,7.4311448
760,0.000624949,0.000295555,0.000329394,7.0648605
770,0.000567418,0.000265731,0.000301687,6.744569
780,0.000517496,0.000240073,0.000277423,6.4632593
790,0.000473859,0.000217832,0.000256027,6.2139609
800,0.000435477,0.000198422,0.000237054,5.9918937
810,0.000401566,0.000181388,0.000220178,5.7935764
820,0.0003715,0.000166351,0.000205149,5.615491
830,0.000342548,0.000152945,0.000189602,5.4538409
840,0.000317172,0.000141031,0.000176141,5.308355
850,0.000295028,0.000130402,0.000164626,5.1773059
860,0.000275551,0.000120882,0.000154669,5.0584543
870,0.000258436,0.000112322,0.000146113,4.9501499
880,0.000243254,0.000104609,0.000138645,4.8506284
890,0.000229608,9.76E-05,0.000131986,4.7581929
900,0.000219022,9.13E-05,0.000127689,4.6744866
