lambda,qEXT,qSCA,qABS,eSQU
619.0,-3.1018343e-05,-0.000251408243,0.0002203899,28.021734
620.0,-3.3370749e-05,-0.00025060224900000003,0.0002172315,28.205648
621.0,-3.5691023e-05,-0.000249874033,0.00021418301,28.397949
623.0,-4.0245065e-05,-0.000248652045,0.00020840698,28.808112
625.0,-4.4706598e-05,-0.000247750268,0.00020304367,29.25353
627.0,-4.9097184e-05,-0.000247172054,0.00019807487,29.735674
629.0,-5.3436442e-05,-0.000246920252,0.00019348381,30.256305
630.0,-5.559292e-05,-0.00024691786,0.00019132494,30.531617
631.0,-5.774301900000001e-05,-0.000246997349,0.00018925433,30.81702
633.0,-6.2037904e-05,-0.000247409364,0.00018537146,31.419746000000004
635.0,-6.6338318e-05,-0.00024815999800000004,0.00018182168000000005,32.066258000000005
637.0,-7.0664112e-05,-0.000249257902,0.00017859379000000002,32.759004
639.0,-7.503481e-05,-0.00025071261,0.00017567779999999998,33.500214
640.0,-7.7242322e-05,-0.000251576352,0.00017433403000000002,33.889601
641.0,-7.9468597e-05,-0.000252533207,0.00017306460999999998,34.292035
643.0,-8.398765499999999e-05,-0.000254734155,0.0001707465,35.137432000000004
645.0,-8.861281999999999e-05,-0.00025733046999999997,0.00016871764999999998,36.03937
647.0,-9.3366281e-05,-0.00026034012099999997,0.00016697383999999998,37.00147800000001
649.0,-9.8272335e-05,-0.000263784775,0.00016551244,38.027329
650.0,-0.00010078945,-0.00026567602,0.00016488657,38.565336
651.0,-0.00010335374,-0.00026768393,0.00016433019,39.120718
653.0,-0.00010863745,-0.00027206353,0.00016342608,40.286006
655.0,-0.00011414877,-0.00027694861,0.00016279984,41.527777
657.0,-0.00011991518,-0.00028236573000000004,0.00016245055000000002,42.851086
659.0,-0.00012596599,-0.00028834619,0.0001623802,44.261556
660.0,-0.00012928127,-0.00029195231999999997,0.00016267105,44.995668
661.0,-0.00013287062,-0.00029612348,0.00016325286,45.748794
663.0,-0.00014037077,-0.00030500061,0.00016462984000000002,47.334387
665.0,-0.00014833605,-0.00031464087,0.00016630482,49.033884
667.0,-0.00015682048,-0.00032511337,0.00016829289,50.85749600000001
669.0,-0.000165877,-0.00033649301000000006,0.00017061601000000002,52.81711
670.0,-0.00017064174999999998,-0.00034255373999999997,0.00017191199000000002,53.85221800000001
671.0,-0.00017557398,-0.00034887397,0.00017329999,54.926221
673.0,-0.00018598684,-0.00036236113,0.00017637429,57.200098
675.0,-0.00019720606,-0.00037707645,0.00017987039,59.655392000000006
680.0,-0.00022949659,-0.00042020442,0.00019070783,66.716773
690.0,-0.00031669569,-0.00053888848,0.00022219279,85.226623
700.0,-0.00046340672,-0.00074147015,0.00027806343,115.19474
710.0,-0.00072319072,-0.00109885616,0.00037566544,166.28902
720.0,-0.0012694101,-0.00184287985,0.00057346975,272.85495
730.0,-0.0022705982,-0.00317386555,0.00090326735,460.10815
740.0,-0.0030973212,-0.0042000545,0.0011027333,591.8764
750.0,-0.0026990305,-0.00356575,0.0008667195,486.65261
760.0,-0.0017985198,-0.0023240037700000002,0.00052548397,306.2927
770.0,-0.0011328394,-0.00143510583,0.00030226642999999994,182.70902
780.0,-0.00074749839,-0.0009301836800000001,0.00018268529,114.45286000000002
790.0,-0.00052267501,-0.0006402016599999999,0.00011752665,76.262662
800.0,-0.00038341317,-0.000463101815,7.9688645e-05,53.578389
810.0,-0.0002915994,-0.000347777349,5.6177949e-05,39.233249
820.0,-0.00022807692000000005,-0.00026892807400000007,4.0851154e-05,29.662673
830.0,-0.00018082517,-0.000210938979,3.0113809e-05,22.95426
840.0,-0.00014669506000000002,-0.00016951639000000002,2.282133e-05,18.182897
850.0,-0.00012144033,-0.000139203559,1.7763229e-05,14.697738
860.0,-0.00010230629,-0.000116473734,1.4167444e-05,12.081905
870.0,-8.7569986e-05,-9.9134858e-05,1.1564872e-05,10.079791
880.0,-7.601157100000001e-05,-8.565759870000001e-05,9.6460277e-06,8.5141746
890.0,-6.7041589e-05,-7.52790204e-05,8.2374314e-06,7.2743152
900.0,-6.0847327e-05,-6.81459361e-05,7.2986091e-06,6.3217685
910.0,-5.602981e-05,-6.26170161e-05,6.5872061e-06,5.5563261
920.0,-5.2050333e-05,-5.8057114900000006e-05,6.0067819000000015e-06,4.9288515
930.0,-4.86579e-05,-5.4173554900000005e-05,5.5156549000000015e-06,4.4082277
940.0,-4.565816e-05,-5.07476733e-05,5.0895133e-06,3.96993
950.0,-4.2934675e-05,-4.76534129e-05,4.7187379e-06,3.596806
960.0,-4.043353e-05,-4.48241264e-05,4.3905964e-06,3.2767675
970.0,-3.8077631e-05,-4.21635348e-05,4.0859038e-06,2.998495
980.0,-3.5824682e-05,-3.9622847e-05,3.798165e-06,2.7523239
990.0,-3.3623734e-05,-3.71499661e-05,3.5262321e-06,2.5315418
