lambda,qEXT,qSCA,qABS,eSQU,eSQUdev,eSQUQ1,eSQUQ3,eSQUavg,eSQUmin,eSQUmax
593.0,-0.0008652443699999999,-0.0032377065700000002,0.0023724622,169.82962,140.94964,44.7699,285.24728,171.36142,9.41273,525.27591
595.0,-0.00096649567,-0.00337826427,0.0024117686,179.62874,149.89307,46.78058,302.19052,181.35173,9.21795,556.94702
597.0,-0.0010758012,-0.0035351928,0.0024593916,190.50556,159.79159,48.90222,321.0943,192.45091,9.00962,591.90227
599.0,-0.0011941821,-0.0037095417999999996,0.0025153597,202.55502,170.73412,51.50514,342.43242,204.75707,8.59747,632.29605
600.0,-0.0012570909,-0.0038035354000000004,0.0025464445000000003,209.04831,176.62416,52.90355,353.46175,211.39253,8.42183,654.38057
601.0,-0.0013226367,-0.0039021944,0.0025795577,215.86804,182.80695,54.50291,365.47738,218.36409,8.27396,677.53748
603.0,-0.00146208,-0.0041137262999999995,0.0026516463,230.52297,196.08552,57.69334,391.16591,233.35296,8.06866,727.19345
605.0,-0.0016132391,-0.0043442079,0.0027309688,246.57402,210.62591,61.10094,418.96361,249.77993,8.01735,781.42859
607.0,-0.0017765104000000004,-0.0045929259,0.0028164155,264.03371,226.4484,64.45489,449.01383,267.65846,7.81001,840.23661
609.0,-0.0019517569,-0.0048580245,0.0029062676,282.84882,243.5158,68.06359,481.78308,286.93475,7.61662,903.36771
610.0,-0.0020436197,-0.004995705,0.0029520853,292.72223,252.48225,69.97553,499.14149,297.05398,7.53264,936.39574
611.0,-0.0021380423000000003,-0.005136018900000001,0.0029979766,302.8678,261.70507,71.88244,517.25102,307.45473,7.46389,970.22867
613.0,-0.0023332708,-0.0054212578,0.003087987,323.80057,280.77106,75.86718,553.75508,328.92245,7.34926,1039.7401
615.0,-0.0025337923,-0.0057052945,0.0031715022,345.17244,300.30497,80.48392,591.02264,350.85262,7.26183,1110.2728
617.0,-0.0027338396000000003,-0.0059768270000000005,0.0032429874,366.4391,319.82635,84.5661,628.68969,372.6866,7.20007,1179.9839
619.0,-0.0029267249,-0.006228967700000001,0.0033022428,388.34826,339.93097,89.00907,667.5547,395.17336,7.16448,1251.3494
620.0,-0.0030191195,-0.0063429865,0.0033238670000000003,398.80927,349.58165,91.24335,686.24548,405.91686,6.91458,1285.2464
621.0,-0.0031072014,-0.0064460718,0.0033388704,408.74325,358.78928,93.27661,703.84408,416.12432,6.56795,1317.2974
623.0,-0.003264971,-0.006610107400000001,0.0033451364,426.36477,375.28277,96.52953,734.26307,434.25041,5.9032,1373.7175
625.0,-0.0033886470000000003,-0.006702457,0.00331381,439.82244,388.1658,98.62677,758.0395,448.12769,5.30671,1416.1289
627.0,-0.0034672146999999995,-0.006706743899999999,0.0032395292,447.77536,396.22367,99.78972,772.78455,456.38195,4.04302,1440.1914
629.0,-0.0034919511,-0.0066121393,0.0031201882,449.16631,398.48029,99.19832,774.95922,457.92839,2.71682,1442.4936
630.0,-0.0034825261,-0.0065266469,0.0030441208000000003,447.20867,397.24804,98.4147,772.01911,455.98834,2.16488,1434.9275
631.0,-0.0034583807000000003,-0.0064163377,0.002957957,443.46136,394.41518,96.99805,766.13177,452.21749,1.68928,1421.4904
633.0,-0.0033675261,-0.0061269534,0.0027594273,430.80211,384.1065,93.52047,745.81862,439.39111,0.95403,1380.4973
635.0,-0.0032259334000000004,-0.005760614000000001,0.0025346806,412.00651,368.23891,88.41394,713.31872,420.2833,0.47169,1326.5872
637.0,-0.0030443887,-0.0053399481,0.0022955594,388.40966,347.96884,82.47301,672.61189,396.2575,0.1886,1256.217
639.0,-0.0028358084,-0.0048895211000000004,0.0020537127,361.60409,324.69875,76.12999,626.24558,368.94124,0.05194,1173.9013
640.0,-0.002725455,-0.0046604012,0.0019349462,347.49838,312.38281,72.66414,602.16098,354.56055,0.02468,1129.8116
641.0,-0.0026130634,-0.004432064899999999,0.0018190015,333.16994,299.83288,69.23669,577.65264,339.94946,0.0194,1084.5717
643.0,-0.0023873281,-0.0039859974999999995,0.0015986694,304.47548,274.59946,62.93898,528.75756,310.68098,0.03192,992.73391
645.0,-0.0021672458,-0.0035644557,0.0013972098999999998,276.57322,249.95229,56.73405,480.09233,282.21214,0.05796,902.16828
647.0,-0.0019587664,-0.0031754882,0.0012167218,250.18397,226.55435,51.0145,434.38512,255.28087,0.13384,815.45618
649.0,-0.0017654663,-0.0028229505,0.0010574842,225.73461,204.80407,45.75998,392.38172,230.32446,0.26219,734.55783
650.0,-0.0016750979,-0.00266067586,0.00098557796,214.30602,194.61378,43.24062,372.68031,218.65754,0.34337,696.60192
651.0,-0.0015890475,-0.0025076163300000003,0.00091856883,203.4223,184.89506,40.92005,353.72253,207.54611,0.43421,661.55092
653.0,-0.0014298734,-0.00222820755,0.00079833415,183.2815,166.8721,36.69628,318.97024,186.98215,0.64113,596.33705
655.0,-0.0012874228,-0.00198223447,0.00069481167,165.23957,150.68288,32.84572,287.64726,168.55951,0.5489,538.28969
657.0,-0.0011606462,-0.00176660147,0.00060595527,149.16097,136.21683,29.48928,259.80972,152.1405,0.44276,486.93649
659.0,-0.0010482116,-0.00157801321,0.0005298016099999999,134.87782,123.33454,26.49732,235.02734,137.55451,0.37568,440.76056
660.0,-0.00099745699,-0.00149377509,0.0004963181,128.26973,117.36338,25.15461,223.5934,130.80601,0.34406,419.10964
661.0,-0.00095022674,-0.00141590513,0.0004656783900000001,121.97654,111.67024,23.83042,212.88587,124.37884,0.31555,398.53412
663.0,-0.00086397936,-0.00127489367,0.00041091431,110.50371,101.27774,21.48645,193.35021,112.66256,0.27922,361.64514
665.0,-0.0007875653200000001,-0.0011513093700000001,0.00036374405,100.35991,92.0752,19.41947,175.59282,102.30482,0.25916,329.83429
667.0,-0.0007197711200000001,-0.00104279229,0.00032302117,91.376461,83.91529,17.57773,159.97681,93.13327,0.22302,302.0013
669.0,-0.00065951771,-0.00094729594,0.00028777823,83.404762,76.66699,15.99111,145.89511,84.99601,0.1894,276.95187
670.0,-0.00063191761,-0.0009038671500000001,0.00027194954,79.757158,73.3484,15.2487,139.39881,81.27314,0.17288,265.33889
671.0,-0.0006058604099999999,-0.0008630531299999999,0.00025719272,76.315384,70.21564,14.529,133.34098,77.76054,0.14863,254.28019
673.0,-0.00055797697,-0.00078854964,0.00023057267000000005,69.995993,64.46036,13.26144,122.26763,71.31171,0.07053,233.69089
675.0,-0.0005151547900000001,-0.0007224967,0.00020734191,64.349592,59.31364,12.16052,112.19876,65.55014,0.02073,214.94712
680.0,-0.00042637452000000007,-0.0005874312000000001,0.00016105668,52.655109,48.63708,9.8683,91.96754,53.6179,0.00945,176.23362
690.0,-0.00030626635,-0.00040938830999999996,0.00010312196,36.77717,34.08009,6.88379,63.99057,37.42469,0.01832,124.98719
700.0,-0.00022986066,-0.000299746281,6.9885621e-05,26.68625,24.77617,4.9378,46.48398,27.13697,0.00974,91.07635
