lambda,qEXT,qSCA,qABS,eSQU
400,0.004150965,0.000367373,0.003783592,1.986042
410,0.004082192,0.000341064,0.003741128,2.0081769
420,0.003997459,0.000314206,0.003683253,2.0204962
430,0.003906852,0.000287817,0.003619035,2.0236314
440,0.00382761,0.00026332,0.00356429,2.0203505
450,0.003742345,0.000239543,0.003502802,2.0082028
460,0.003613859,0.000213197,0.003400662,1.973684
470,0.003514364,0.00019193,0.003322434,1.9474065
480,0.003434368,0.000174021,0.003260347,1.9228841
490,0.00343773,0.000167329,0.003270401,1.9518619
500,0.003577597,0.000178768,0.003398828,2.0934876
510,0.003887093,0.000218007,0.003669086,2.4463831
520,0.004375881,0.000297419,0.004078461,3.1552994
530,0.00520868,0.000430015,0.004778665,4.374669
540,0.006450567,0.000642533,0.005808035,6.4067136
550,0.008280267,0.000977808,0.00730246,9.8084996
560,0.010763782,0.001490827,0.009272955,15.426771
570,0.013984441,0.00225641,0.011728031,24.511971
580,0.016748965,0.003119326,0.013629639,36.014005
590,0.016174046,0.003430051,0.012743995,42.442962
600,0.012302546,0.00293805,0.009364496,39.150062
610,0.008302225,0.002206402,0.006095823,31.739252
620,0.005544633,0.001624959,0.003919674,25.250492
630,0.003817356,0.001229532,0.002587824,20.623439
640,0.002718887,0.000952507,0.001766379,17.230919
650,0.002008178,0.000756898,0.00125128,14.750833
660,0.001536667,0.000615465,0.000921202,12.906987
670,0.001229557,0.000509365,0.000720192,11.475934
680,0.001008352,0.000428517,0.000579834,10.354966
690,0.000845955,0.000365648,0.000480308,9.4623758
700,0.000723829,0.00031559,0.000408238,8.7355214
710,0.000629877,0.00027516,0.000354717,8.1356148
720,0.000553392,0.000241841,0.000311551,7.6274393
730,0.000490786,0.000214173,0.000276613,7.1954011
740,0.00043923,0.000191023,0.000248208,6.8285209
750,0.000396296,0.000171358,0.000224938,6.5127231
760,0.000360622,0.000154515,0.000206107,6.2389078
770,0.000330169,0.000139953,0.000190216,5.9977903
780,0.000303372,0.000127286,0.000176086,5.7832388
790,0.00027954,0.000116192,0.000163348,5.5907886
800,0.000258343,0.000106416,0.000151927,5.4181174
810,0.000239519,9.78E-05,0.000141761,5.2630633
820,0.000222875,9.01E-05,0.000132819,5.1235101
830,0.000206647,8.31E-05,0.000123512,4.996922
840,0.000192421,7.70E-05,0.000115461,4.8830145
850,0.000180054,7.14E-05,0.00010864,4.7799509
860,0.00016923,6.64E-05,0.000102803,4.6862331
870,0.00015974,6.19E-05,9.78E-05,4.6011707
880,0.000151307,5.78E-05,9.35E-05,4.5232986
890,0.000143717,5.41E-05,8.96E-05,4.4508724
900,0.000137888,5.08E-05,8.71E-05,4.3844666
