#Lambda,Qext,Qsca,Qabs,E^2
300.0,3.8059316e-05,-3.6186920999999995e-05,7.4246237e-05,2.6019653
310.0,3.5862178e-05,-3.7116105e-05,7.2978283e-05,2.6488349
320.0,3.2636248e-05,-3.719187799999999e-05,6.9828126e-05,2.6810056
330.0,3.4782209e-05,-4.013298200000001e-05,7.4915191e-05,2.9000706
340.0,3.4300055e-05,-4.0436294e-05,7.4736349e-05,2.9620338
350.0,3.1858849e-05,-3.9011996e-05,7.0870845e-05,2.9074527
360.0,2.9950277e-05,-3.9667653000000005e-05,6.961793e-05,2.9706017
370.0,2.8698821e-05,-4.2360776e-05,7.1059597e-05,3.1414942
380.0,2.7447591e-05,-4.5219852000000006e-05,7.2667443e-05,3.3019375
390.0,2.5465579e-05,-4.5906171999999994e-05,7.1371751e-05,3.3456189
400.0,2.3837454e-05,-4.5969256999999996e-05,6.9806711e-05,3.3676674
410.0,2.302367e-05,-4.6429886e-05,6.9453556e-05,3.4302862
420.0,2.2312213e-05,-4.6203408e-05,6.8515621e-05,3.4612354
430.0,2.2209801e-05,-4.5994911e-05,6.8204712e-05,3.5098295
440.0,2.3650759e-05,-4.715005400000001e-05,7.0800813e-05,3.669631
450.0,2.5682386e-05,-4.830265999999999e-05,7.3985046e-05,3.864658
460.0,2.7213894e-05,-4.715245599999999e-05,7.436635e-05,3.9425174
470.0,2.9777852e-05,-4.7811170999999994e-05,7.7589023e-05,4.1677967
480.0,3.6091053e-05,-5.273311499999999e-05,8.8824168e-05,4.7303185
490.0,4.5665833e-05,-6.5815947e-05,0.00011148178,5.9189079
500.0,6.2719278e-05,-0.00010026113200000001,0.00016298041,8.842094
510.0,9.0788475e-05,-0.000182518555,0.00027330703,16.132371
520.0,0.00012718835,-0.00035607035,0.0004832587,33.700439
530.0,0.00012449,-0.00058570057,0.00071019057,60.182345
540.0,6.4020367e-05,-0.000838732073,0.00090275244,94.91178
550.0,-5.2171203e-05,-0.001045572553,0.00099340135,130.76701
560.0,-0.0001908804,-0.0012168680999999999,0.0010259877,170.54556
570.0,-0.00033334741,-0.00131792981,0.0009845824,207.78358
580.0,-0.00041659067,-0.00123016081,0.00081357014,217.65444
590.0,-0.00036690231,-0.00088105793,0.00051415562,172.78006
600.0,-0.00025036948,-0.00051857986,0.00026821038,111.97943
610.0,-0.00015582285,-0.00029010863,0.00013428578,68.486541
620.0,-9.7484844e-05,-0.000168385343,7.0900499e-05,43.318011
630.0,-6.3024126e-05,-0.000103600176,4.057605e-05,29.16972
640.0,-4.2043454e-05,-6.7099471e-05,2.5056017e-05,20.497407
650.0,-2.8983889e-05,-4.5874004e-05,1.6890115e-05,15.020586
660.0,-2.0511649e-05,-3.2851504e-05,1.2339855e-05,11.4319
670.0,-1.5034304e-05,-2.46770295e-05,9.6427255e-06,8.9001753
680.0,-1.1166624e-05,-1.9042136699999998e-05,7.8755127e-06,7.066629
690.0,-8.4807803e-06,-1.51341034e-05,6.6533231e-06,5.7068687
700.0,-6.7322083e-06,-1.23462208e-05,5.6140125e-06,4.6493624
710.0,-5.7216945e-06,-1.02707676e-05,4.5490731e-06,3.8206444
720.0,-5.0425073e-06,-8.5339671e-06,3.4914598e-06,3.1599353
730.0,-4.4731616e-06,-7.1931009e-06,2.7199393e-06,2.6580795
740.0,-3.9903323e-06,-6.2460402e-06,2.2557079e-06,2.2815525
750.0,-3.5754111e-06,-5.530502900000001e-06,1.9550918e-06,1.9843214
760.0,-3.2403605e-06,-4.9720848e-06,1.7317243e-06,1.7416575
770.0,-2.9545267e-06,-4.5031111e-06,1.5485844e-06,1.5365635
780.0,-2.7056465e-06,-4.1160387e-06,1.4103922e-06,1.3654549
790.0,-2.4792595e-06,-3.7988183000000003e-06,1.3195588e-06,1.2237858
800.0,-2.2783557e-06,-3.5197853e-06,1.2414296e-06,1.1036099
810.0,-2.1075856e-06,-3.2866923999999998e-06,1.1791068e-06,1.0018495
820.0,-1.9663333e-06,-3.0943456999999995e-06,1.1280124e-06,0.91438693
830.0,-1.8246627e-06,-2.8845360000000002e-06,1.0598733e-06,0.83619697
840.0,-1.6967943e-06,-2.68582916e-06,9.8903486e-07,0.76723163
850.0,-1.5826021e-06,-2.51088123e-06,9.2827913e-07,0.70777548
860.0,-1.4842497e-06,-2.36276824e-06,8.7851854e-07,0.65602701
870.0,-1.4026263e-06,-2.23782616e-06,8.3519986e-07,0.60975023
880.0,-1.337422e-06,-2.13836726e-06,8.0094526e-07,0.56892468
890.0,-1.2915686e-06,-2.07167342e-06,7.8010482e-07,0.53408332
900.0,-1.2718304e-06,-2.04476464e-06,7.7293424e-07,0.50438402
910.0,-1.2581835e-06,-2.02688373e-06,7.6870023e-07,0.47797264
920.0,-1.2433741e-06,-2.00705608e-06,7.6368198e-07,0.45409316
930.0,-1.2296479e-06,-1.99159535e-06,7.6194745e-07,0.43322019
940.0,-1.2233673e-06,-1.99487914e-06,7.7151184e-07,0.4165683
950.0,-1.2204966e-06,-2.01185897e-06,7.9136237e-07,0.40389988
960.0,-1.2152419e-06,-2.0290285e-06,8.137866e-07,0.39358682
970.0,-1.2065939e-06,-2.03611778e-06,8.2952388e-07,0.38370373
980.0,-1.1939819e-06,-2.02943679e-06,8.3545489e-07,0.37320879
990.0,-1.1745505e-06,-2.00897684e-06,8.3442634e-07,0.36265737
1000.0,nan,nan,nan,nan
