#Lambda,Qext,Qsca,Qabs,E^2
400.0,3.5997582e-06,-3.9706899e-06,7.5704481e-06,2.1660825
410.0,3.5242509e-06,-3.9843735999999994e-06,7.5086245e-06,2.1950356
420.0,3.44534e-06,-3.9454055999999995e-06,7.3907456e-06,2.2095297
430.0,3.4225136e-06,-3.8979417999999996e-06,7.3204554e-06,2.2292173
440.0,3.5632591e-06,-3.9258064e-06,7.4890655e-06,2.2898053
450.0,3.7504574e-06,-3.936515800000001e-06,7.6869732e-06,2.3608137
460.0,3.8452068e-06,-3.7831468999999997e-06,7.6283537e-06,2.3834248
470.0,4.0538294e-06,-3.7413688000000006e-06,7.7951982e-06,2.4609475
480.0,4.618733e-06,-3.935608800000001e-06,8.5543418e-06,2.6447651
490.0,5.5115816e-06,-4.5899814e-06,1.0101563e-05,3.0178671
500.0,7.1352304e-06,-6.3124916e-06,1.3447722e-05,3.8403875
510.0,9.8256093e-06,-1.00350137e-05,1.9860623e-05,5.5650403
520.0,1.350147e-05,-1.6714321e-05,3.0215791e-05,8.9437031
530.0,1.5171581e-05,-2.4249104e-05,3.9420685e-05,13.273521
540.0,1.3971086e-05,-3.0946757e-05,4.4917843e-05,18.115611
550.0,9.9671096e-06,-3.51472674e-05,4.5114377e-05,22.495157
560.0,4.9878248e-06,-3.7387978200000005e-05,4.2375803e-05,26.663002
570.0,-2.0751998e-07,-3.823531598e-05,3.8027796e-05,30.691266
580.0,-4.8525434e-06,-3.9174751399999995e-05,3.4322208e-05,35.623549
590.0,-9.4290152e-06,-4.2232819199999995e-05,3.2803804e-05,43.458954
600.0,-1.4979445e-05,-4.9141854999999995e-05,3.416241e-05,57.231016
610.0,-2.3205234e-05,-6.2290041e-05,3.9084807e-05,81.638205
620.0,-3.6066844e-05,-8.476411799999999e-05,4.8697274e-05,123.66931
630.0,-5.2379081e-05,-0.000112320306,5.9941225e-05,182.02053
640.0,-5.6912728e-05,-0.000113616457,5.6703729e-05,202.89284
650.0,-4.061515e-05,-7.6941366e-05,3.6326216e-05,149.30199
660.0,-2.3985854e-05,-4.3940065999999997e-05,1.9954212e-05,90.773917
670.0,-1.4402427e-05,-2.5814605000000002e-05,1.1412178e-05,54.688818
680.0,-9.2747477e-06,-1.6409324399999998e-05,7.1345767e-06,35.067793
690.0,-6.418642e-06,-1.12717518e-05,4.8531098e-06,23.969597
700.0,-4.6855411e-06,-8.4277626e-06,3.7422215e-06,17.21584
710.0,-3.5955182e-06,-6.8807649999999995e-06,3.2852468e-06,12.978657
720.0,-2.8050295e-06,-5.6402117e-06,2.8351822e-06,10.077343
730.0,-2.235819e-06,-4.5358314e-06,2.3000124e-06,7.9667003
740.0,-1.8496717e-06,-3.9301884e-06,2.0805167e-06,6.5059348
750.0,-1.5613849e-06,-3.542028e-06,1.9806431e-06,5.4383032
760.0,-1.3498132e-06,-3.2209404e-06,1.8711272e-06,4.6160103
770.0,-1.19242e-06,-2.9162219e-06,1.7238019e-06,3.9532996
780.0,-1.067031e-06,-2.6350439999999997e-06,1.568013e-06,3.4166094
790.0,-9.7115197e-07,-2.44795367e-06,1.4768017e-06,2.9981101
800.0,-9.0307436e-07,-2.34558036e-06,1.442506e-06,2.6775204
810.0,-8.5008152e-07,-2.33115702e-06,1.4810755e-06,2.4532861
820.0,-8.1045345e-07,-2.39997885e-06,1.5895254e-06,2.3052692
830.0,-7.8173104e-07,-2.47401904e-06,1.692288e-06,2.1941369
840.0,-7.4970432e-07,-2.42339992e-06,1.6736956e-06,2.0612443
850.0,-6.9467031e-07,-2.21783891e-06,1.5231686e-06,1.8875954
860.0,-6.3787587e-07,-2.02311647e-06,1.3852406e-06,1.7246384
870.0,-6.0245524e-07,-1.91979184e-06,1.3173366e-06,1.601172
880.0,-5.8884769e-07,-1.87304349e-06,1.2841958e-06,1.5070486
890.0,-5.8422612e-07,-1.8566858200000002e-06,1.2724597e-06,1.4373076
900.0,-5.7310335e-07,-1.82909385e-06,1.2559905e-06,1.372375
910.0,-5.5412475e-07,-1.7808045500000002e-06,1.2266798e-06,1.310559
920.0,-5.3234407e-07,-1.73553287e-06,1.2031888e-06,1.2583077
930.0,-5.1066638e-07,-1.70942318e-06,1.1987568e-06,1.2183458
940.0,-4.944739e-07,-1.7087602e-06,1.2142863e-06,1.1909652
950.0,-4.8852635e-07,-1.73368185e-06,1.2451555e-06,1.1754457
960.0,-4.915511e-07,-1.7813953e-06,1.2898442e-06,1.1711835
970.0,-4.9895099e-07,-1.8503051899999999e-06,1.3513542e-06,1.1788518
980.0,-5.0668126e-07,-1.93846536e-06,1.4317841e-06,1.1993645
990.0,-5.1137069e-07,-2.03550969e-06,1.524139e-06,1.2319008
1000.0,3.8723358e-06,5.1104302e-06,-1.2380944e-06,0.35497051
