#Lambda,Qext,Qsca,Qabs,E^2
300.0,0.0001512191,-6.706976e-05,0.00021828886,2.6521175
310.0,0.00014482693,-6.786163000000001e-05,0.00021268856,2.6762834
320.0,0.00013548944,-6.768715e-05,0.00020317659,2.7042881
330.0,0.00014036803,-7.02887e-05,0.00021065673,2.835816
340.0,0.00013762858,-6.966452e-05,0.0002072931,2.855925
350.0,0.00012978637,-6.721290000000002e-05,0.00019699927,2.8024554
360.0,0.00012480953,-6.794632000000001e-05,0.00019275585,2.8556755
370.0,0.00012296175,-7.162567999999999e-05,0.00019458743,2.9989403
380.0,0.00012143941,-7.552726e-05,0.00019696667,3.1317727
390.0,0.00011684116,-7.651838e-05,0.00019335954,3.1750229
400.0,0.0001125466,-7.649297999999999e-05,0.00018903958,3.195703
410.0,0.00011024647,-7.670820000000001e-05,0.00018695467,3.2382396
420.0,0.0001076952,-7.59255e-05,0.0001836207,3.2532459
430.0,0.00010640395,-7.490977999999998e-05,0.00018131373,3.2724477
440.0,0.00010909978,-7.507917000000002e-05,0.00018417895,3.3529328
450.0,0.0001126696,-7.493633e-05,0.00018760593,3.4473618
460.0,0.00011349727,-7.192241e-05,0.00018541968,3.4548856
470.0,0.00011719412,-7.092726e-05,0.00018812138,3.5562277
480.0,0.00012943284,-7.379938000000002e-05,0.00020323222,3.8294647
490.0,0.00014992349,-8.471160000000002e-05,0.00023463509,4.4650814
500.0,0.00018829069,-0.00011351753999999997,0.00030180823,6.0200581
510.0,0.0002525321,-0.00017413299999999998,0.0004266651,9.5951034
520.0,0.00034008233,-0.00027828585000000004,0.00061836818,17.02167
530.0,0.00037883292,-0.00038461950999999997,0.00076345243,26.060267
540.0,0.00034694945,-0.00045573395000000005,0.0008026834,34.311377
550.0,0.00025960946,-0.00046831597000000005,0.00072792543,38.971786
560.0,0.00016967349,-0.00044833602,0.00061800951,41.644748
570.0,9.1071046e-05,-0.000417623734,0.00050869478,43.290125
580.0,2.8074571e-05,-0.000391443719,0.00041951829,44.998195
590.0,-2.4736068e-05,-0.000379552438,0.00035481637,47.546454
600.0,-7.2436083e-05,-0.000386450553,0.00031401447,52.147847
610.0,-0.00012271859,-0.00041593804,0.00029321945,59.664693
620.0,-0.00018266657,-0.00047036814,0.00028770157,71.001234
630.0,-0.00025848959,-0.0005523888000000001,0.00029389921,87.231659
640.0,-0.00036002712,-0.0006739997900000001,0.00031397267,108.9438
650.0,-0.0004855587,-0.0008314047400000001,0.00034584604,135.63793
660.0,-0.00062825398,-0.0010158518000000002,0.00038759782,167.11387
670.0,-0.00078392291,-0.00122411479,0.00044019188,203.73028
680.0,-0.0009645732,-0.00147503132,0.00051045812,253.01104
690.0,-0.0010972298,-0.0016497878499999999,0.00055255805,291.67283
700.0,-0.0010292241,-0.0015255051600000001,0.00049628106,274.85258
710.0,-0.00080385757,-0.0011749384,0.00037108083,215.95055
720.0,-0.00055018268,-0.0007884356399999999,0.00023825296,150.01762
730.0,-0.0003621974,-0.00050982405,0.00014762665,100.06179
740.0,-0.00024738734,-0.000343081717,9.5694377e-05,68.687118
750.0,-0.00017516372,-0.000238639207,6.3475487e-05,48.558342
760.0,-0.00012898268,-0.000172414961,4.3432281e-05,35.424601
770.0,-9.7917574e-05,-0.00012887543800000001,3.0957864e-05,26.478438
780.0,-7.6829758e-05,-0.000100058563,2.3228805e-05,20.380917
790.0,-6.1822678e-05,-7.9883426e-05,1.8060748e-05,16.085006
800.0,-5.0755408e-05,-6.5180767e-05,1.4425359e-05,12.950183
810.0,-4.2481119e-05,-5.4365954e-05,1.1884835e-05,10.620526
820.0,-3.6108796e-05,-4.6102444e-05,9.993648e-06,8.8527221
830.0,-3.0683998e-05,-3.90619038e-05,8.3779058e-06,7.457054
840.0,-2.6293419e-05,-3.33489827e-05,7.0555637e-06,6.3456892
850.0,-2.275714e-05,-2.87526713e-05,5.9955313e-06,5.4469061
860.0,-1.9958517e-05,-2.51379455e-05,5.1794285e-06,4.7168532
870.0,-1.7726023e-05,-2.22929802e-05,4.5669572e-06,4.1238096
880.0,-1.5903807e-05,-2.00013445e-05,4.0975375e-06,3.6375805
890.0,-1.4382383e-05,-1.80736845e-05,3.6913015e-06,3.231197
900.0,-1.3237964e-05,-1.6579763400000002e-05,3.3417994e-06,2.8955407
910.0,-1.2269193e-05,-1.53061425e-05,3.0369495e-06,2.6075805
920.0,-1.1419083e-05,-1.41928507e-05,2.7737677e-06,2.3583387
930.0,-1.0659072e-05,-1.3192367799999998e-05,2.5332958e-06,2.1410813
940.0,-9.961189e-06,-1.2262759800000001e-05,2.3015708e-06,1.9492845
950.0,-9.3162717e-06,-1.13977755e-05,2.0815038e-06,1.7785556
960.0,-8.7242094e-06,-1.06078409e-05,1.8836315e-06,1.6267231
970.0,-8.1777873e-06,-9.8836071e-06,1.7058198e-06,1.4915623
980.0,-7.671685e-06,-9.215824500000001e-06,1.5441395e-06,1.3706431
990.0,-7.1819457e-06,-8.5803423e-06,1.3983966e-06,1.2612689
1000.0,-0.00035806612,-0.00017705076,-0.00018101536,2.1507124
