#Lambda,Qext,Qsca,Qabs,E^2
300.0,4.3199414e-05,-2.2511419999999997e-05,6.5710834e-05,2.3066956
310.0,4.1392015e-05,-2.2642077999999998e-05,6.4034093e-05,2.3280932
320.0,3.8677023e-05,-2.2411439000000007e-05,6.1088462e-05,2.3493143
330.0,4.0326064e-05,-2.3241426000000002e-05,6.356749e-05,2.4653985
340.0,3.9657037e-05,-2.2977515000000003e-05,6.2634552e-05,2.4870071
350.0,3.7408973e-05,-2.2094813e-05,5.9503786e-05,2.4452975
360.0,3.5959917e-05,-2.2253044e-05,5.8212961e-05,2.4884228
370.0,3.5408854e-05,-2.3388176999999998e-05,5.8797031e-05,2.6042647
380.0,3.4952048e-05,-2.4617313e-05,5.9569361e-05,2.7121138
390.0,3.3598919e-05,-2.4893436e-05,5.8492355e-05,2.7473142
400.0,3.2356943e-05,-2.4847529e-05,5.7204472e-05,2.7651462
410.0,3.1724596e-05,-2.4894582999999997e-05,5.6619179e-05,2.8019627
420.0,3.1026572e-05,-2.4620752999999998e-05,5.5647325e-05,2.8167442
430.0,3.0718033e-05,-2.4280866999999996e-05,5.49989e-05,2.835889
440.0,3.1624529e-05,-2.4350279e-05,5.5974808e-05,2.9071329
450.0,3.2808707e-05,-2.4315312e-05,5.7124019e-05,2.9901773
460.0,3.3182782e-05,-2.3329554999999998e-05,5.6512337e-05,3.0021715
470.0,3.4416824e-05,-2.3003572e-05,5.7420396e-05,3.0908266
480.0,3.8272793e-05,-2.3984704000000005e-05,6.2257497e-05,3.3226636
490.0,4.4621208e-05,-2.7620006999999996e-05,7.2241215e-05,3.8443075
500.0,5.6396464e-05,-3.722224e-05,9.3618704e-05,5.0918104
510.0,7.6011575e-05,-5.753873500000001e-05,0.00013355031,7.9067709
520.0,0.00010273316,-9.283928e-05,0.00019557244,13.698481
530.0,0.00011475166,-0.00012987277,0.00024462443,20.880852
540.0,0.00010510213,-0.00015647852999999998,0.00026158066,27.805407
550.0,7.7038828e-05,-0.000162861132,0.00023989996,32.045934
560.0,4.7592818e-05,-0.00015717961200000001,0.00020477243,34.623733
570.0,2.1990378e-05,-0.000147818102,0.00016980848,36.405826
580.0,1.5877727e-06,-0.0001410649873,0.00014265276,38.516966
590.0,-1.6008709e-05,-0.00014085142900000002,0.00012484272,41.847726
600.0,-3.3032834e-05,-0.000149218854,0.00011618602,47.568497
610.0,-5.2681361e-05,-0.00016849486100000002,0.0001158135,56.767343
620.0,-7.8286717e-05,-0.000200194397,0.00012190768,70.654391
630.0,-0.00011245814,-0.00024645277,0.00013399463,90.493404
640.0,-0.00015803984,-0.00031228601999999997,0.00015424618,116.35854
650.0,-0.00021027576,-0.00039339568,0.00018311992,145.38807
660.0,-0.00025803206,-0.00048059641,0.00022256435,173.17812
670.0,-0.00029157086,-0.0005615606,0.00026998974,195.34339
680.0,-0.00030661308,-0.00061718222,0.00031056914,210.62538
690.0,-0.0002821602,-0.00058672748,0.00030456728,197.63821
700.0,-0.00022544365,-0.00047388427000000005,0.00024844062,157.85731
710.0,-0.0001689981,-0.00034357493,0.00017457683,117.05048
720.0,-0.00011958994,-0.00022304593,0.00010345599,82.483429
730.0,-8.2477367e-05,-0.000140010863,5.7533496e-05,57.170758
740.0,-5.8012007e-05,-9.138864900000001e-05,3.3376642e-05,40.498128
750.0,-4.1846848e-05,-6.2365073e-05,2.0518225e-05,29.319544
760.0,-3.1453415e-05,-4.5210377e-05,1.3756962e-05,21.871514
770.0,-2.4483865e-05,-3.44055268e-05,9.9216618e-06,16.757804
780.0,-1.963068e-05,-2.71169429e-05,7.4862629e-06,13.193164
790.0,-1.6074376e-05,-2.18924885e-05,5.8181125e-06,10.610571
800.0,-1.3455084e-05,-1.82028539e-05,4.7477699e-06,8.7056016
810.0,-1.1474462e-05,-1.5459762099999998e-05,3.9853001e-06,7.2744105
820.0,-9.8900093e-06,-1.32131793e-05,3.32317e-06,6.1594976
830.0,-8.4672559e-06,-1.11375742e-05,2.6703183e-06,5.2492463
840.0,-7.2562992e-06,-9.3386297e-06,2.0823305e-06,4.4983789
850.0,-6.2463955e-06,-7.9005297e-06,1.6541342e-06,3.8827878
860.0,-5.4242339e-06,-6.7914804e-06,1.3672465e-06,3.3782729
870.0,-4.7540896e-06,-5.8941956e-06,1.140106e-06,2.9579359
880.0,-4.1984359e-06,-5.13503586e-06,9.3659996e-07,2.6025805
890.0,-3.7374925e-06,-4.5023409600000004e-06,7.6484846e-07,2.3019727
900.0,-3.4021725e-06,-4.0438645e-06,6.41692e-07,2.0568003
910.0,-3.1283215e-06,-3.6808926399999998e-06,5.5257114e-07,1.8497959
920.0,-2.8919375e-06,-3.37840076e-06,4.8646326e-07,1.672227
930.0,-2.6850029e-06,-3.12444587e-06,4.3944297e-07,1.5188671
940.0,-2.5009309e-06,-2.90417351e-06,4.0324261e-07,1.3843187
950.0,-2.3364508e-06,-2.70949257e-06,3.7304177e-07,1.2652439
960.0,-2.1890834e-06,-2.53674546e-06,3.4766206e-07,1.1596715
970.0,-2.0561706e-06,-2.38276344e-06,3.2659284e-07,1.0659582
980.0,-1.9350927e-06,-2.24347423e-06,3.0838153e-07,0.98230137
990.0,-1.8174773e-06,-2.10895535e-06,2.9147805e-07,0.90653136
1000.0,5.7655943e-05,8.094631e-05,-2.3290367e-05,0.99979714
