#Lambda,Qext,Qsca,Qabs,E^2
400.0,2.5369499e-05,-4.2991961e-05,6.836146e-05,3.3043901
410.0,2.4605333e-05,-4.3371722000000004e-05,6.7977055e-05,3.3639912
420.0,2.3910979e-05,-4.3119371e-05,6.703035e-05,3.392898
430.0,2.3796457e-05,-4.2860874e-05,6.6657331e-05,3.4370115
440.0,2.5200627e-05,-4.378680699999999e-05,6.8987434e-05,3.5829341
450.0,2.7147872e-05,-4.4671816e-05,7.1819688e-05,3.7593805
460.0,2.8512547e-05,-4.346902e-05,7.1981567e-05,3.8239751
470.0,3.0898445e-05,-4.3863752e-05,7.4762197e-05,4.0243134
480.0,3.68943e-05,-4.793055700000001e-05,8.4824857e-05,4.5269295
490.0,4.6078002e-05,-5.9046417999999993e-05,0.00010512442,5.5938235
500.0,6.2540521e-05,-8.8174179e-05,0.0001507147,8.1979004
510.0,8.9855269e-05,-0.00015628763100000002,0.0002461429,14.578538
520.0,0.00012627395,-0.00029530659000000004,0.00042158054,29.555444
530.0,0.00013025811,-0.00047387651999999996,0.00060413463,51.613038
540.0,8.6374147e-05,-0.000663921963,0.00075029611,79.799763
550.0,-4.1670159e-06,-0.0008181818859,0.00081401487,108.77755
560.0,-0.00011532916,-0.00095701681,0.00084168765,142.46002
570.0,-0.00024449761,-0.00108844063,0.00084394302,181.50383
580.0,-0.00036684722,-0.00115514104,0.00078829382,214.40985
590.0,-0.00039943426,-0.0009939208299999999,0.00059448657,201.85414
600.0,-0.00031303436,-0.00066033086,0.0003472965,145.02012
610.0,-0.00020595571,-0.00038577152,0.00017981581,90.421536
620.0,-0.00013257192,-0.000227694885,9.5122965e-05,56.437643
630.0,-8.8804264e-05,-0.000143601243,5.4796979e-05,37.456823
640.0,-6.2445216e-05,-9.752515099999999e-05,3.5079935e-05,26.214762
650.0,-4.6201187e-05,-7.1854936e-05,2.5653749e-05,19.465603
660.0,-3.5449011e-05,-5.6431569000000006e-05,2.0982558e-05,15.214433
670.0,-2.8209185e-05,-4.6479591e-05,1.8270406e-05,12.18572
680.0,-2.3210159e-05,-3.9253852e-05,1.6043693e-05,9.9517757
690.0,-1.9832743e-05,-3.3591832e-05,1.3759089e-05,8.293731
700.0,-1.6933901e-05,-2.7815043e-05,1.0881142e-05,6.9312012
710.0,-1.4149654e-05,-2.21187931e-05,7.9691391e-06,5.7598505
720.0,-1.1287114e-05,-1.65620032e-05,5.2748892e-06,4.7057676
730.0,-8.9935898e-06,-1.25194886e-05,3.5258988e-06,3.8494293
740.0,-7.4677517e-06,-1.00844643e-05,2.6167126e-06,3.2219025
750.0,-6.3640924e-06,-8.4412811e-06,2.0771887e-06,2.7430779
760.0,-5.5045402e-06,-7.1706489999999995e-06,1.6661088e-06,2.3566404
770.0,-4.7989002e-06,-6.1274491e-06,1.3285489e-06,2.0339305
780.0,-4.2204237e-06,-5.2942842000000006e-06,1.0738605e-06,1.7687701
790.0,-3.7500231e-06,-4.63828642e-06,8.8826332e-07,1.5492776
800.0,-3.3780373e-06,-4.13682754e-06,7.5879024e-07,1.3702828
810.0,-3.0408889e-06,-3.6889504499999998e-06,6.4806155e-07,1.2193162
820.0,-2.7298198e-06,-3.27952711e-06,5.4970731e-07,1.0885499
830.0,-2.4275766e-06,-2.89140904e-06,4.6383244e-07,0.97382028
840.0,-2.171206e-06,-2.5691850199999998e-06,3.9797902e-07,0.87522517
850.0,-1.9608601e-06,-2.30939773e-06,3.4853763e-07,0.79069416
860.0,-1.7879759e-06,-2.09798678e-06,3.1001088e-07,0.71764758
870.0,-1.6390142e-06,-1.91866997e-06,2.7965577e-07,0.65421367
880.0,-1.5027719e-06,-1.7563517999999999e-06,2.535799e-07,0.59805369
890.0,-1.3828062e-06,-1.61338833e-06,2.3058213e-07,0.54774429
900.0,-1.2981473e-06,-1.51001235e-06,2.1186505e-07,0.50428476
